time_s,smoothed_fps,fps_inst,n,width,height,palette,vsync
0.050,3.191,3.191,1400,1512,982,ocean,0
0.226,9.485,27.182,1400,1512,982,ocean,0
0.455,17.297,25.689,1400,1512,982,ocean,0
0.684,21.485,26.960,1400,1512,982,ocean,0
0.894,24.870,29.388,1400,1512,982,ocean,0
1.101,26.866,29.625,1400,1512,982,ocean,0
1.301,28.290,29.477,1400,1512,982,ocean,0
1.532,29.462,30.976,1400,1512,982,ocean,0
1.759,30.111,29.109,1400,1512,982,ocean,0
1.970,29.310,27.751,1400,1512,982,ocean,0
2.177,29.301,29.996,1400,1512,982,ocean,0
2.377,29.702,30.832,1400,1512,982,ocean,0
2.607,30.116,31.364,1400,1512,982,ocean,0
2.837,30.268,30.298,1400,1512,982,ocean,0
3.065,30.455,29.688,1400,1512,982,ocean,0
3.295,30.354,28.870,1400,1512,982,ocean,0
3.498,30.019,30.288,1400,1512,982,ocean,0
3.700,29.849,29.551,1400,1512,982,ocean,0
3.902,29.769,29.402,1400,1512,982,ocean,0
4.103,29.858,30.120,1400,1512,982,ocean,0
4.306,29.697,29.868,1400,1512,982,ocean,0
4.508,29.740,29.355,1400,1512,982,ocean,0
4.709,29.810,29.865,1400,1512,982,ocean,0
4.909,29.879,30.336,1400,1512,982,ocean,0
5.109,29.912,29.492,1400,1512,982,ocean,0
5.341,30.067,30.572,1400,1512,982,ocean,0
5.573,30.154,30.742,1400,1512,982,ocean,0
5.802,30.436,30.892,1400,1512,982,ocean,0
6.029,30.632,30.296,1400,1512,982,ocean,0
6.252,31.062,32.004,1400,1512,982,ocean,0
6.474,31.312,31.683,1400,1512,982,ocean,0
6.694,31.566,31.796,1400,1512,982,ocean,0
6.924,30.920,30.685,1400,1512,982,ocean,0
7.148,31.082,31.540,1400,1512,982,ocean,0
7.376,30.928,30.646,1400,1512,982,ocean,0
7.600,31.133,32.403,1400,1512,982,ocean,0
7.827,30.977,29.868,1400,1512,982,ocean,0
8.053,30.934,30.593,1400,1512,982,ocean,0
8.281,30.856,29.986,1400,1512,982,ocean,0
8.512,30.483,29.625,1400,1512,982,ocean,0
8.715,30.107,30.616,1400,1512,982,ocean,0
8.916,30.012,30.456,1400,1512,982,ocean,0
9.117,29.944,30.465,1400,1512,982,ocean,0
9.320,29.741,30.231,1400,1512,982,ocean,0
9.522,29.755,30.272,1400,1512,982,ocean,0
9.723,29.783,29.902,1400,1512,982,ocean,0
9.925,29.745,30.364,1400,1512,982,ocean,0
10.125,29.859,30.467,1400,1512,982,ocean,0
10.358,29.982,29.840,1400,1512,982,ocean,0
10.589,30.198,30.299,1400,1512,982,ocean,0
10.816,30.495,30.324,1400,1512,982,ocean,0
11.043,30.698,31.352,1400,1512,982,ocean,0
11.273,30.641,30.152,1400,1512,982,ocean,0
11.498,30.929,31.335,1400,1512,982,ocean,0
11.720,31.219,31.195,1400,1512,982,ocean,0
