time_s,smoothed_fps,fps_inst,n,width,height,palette,vsync
0.050,3.177,3.177,1400,1512,982,neon,0
0.198,6.801,19.624,1400,1512,982,neon,0
0.421,13.319,25.236,1400,1512,982,neon,0
0.655,19.169,26.528,1400,1512,982,neon,0
0.870,23.342,28.932,1400,1512,982,neon,0
1.069,26.575,30.854,1400,1512,982,neon,0
1.297,28.676,28.547,1400,1512,982,neon,0
1.498,29.243,30.025,1400,1512,982,neon,0
1.729,29.808,30.576,1400,1512,982,neon,0
1.962,29.949,29.923,1400,1512,982,neon,0
2.192,30.197,30.420,1400,1512,982,neon,0
2.422,30.303,29.605,1400,1512,982,neon,0
2.655,30.205,30.127,1400,1512,982,neon,0
2.887,30.164,29.216,1400,1512,982,neon,0
3.121,29.981,28.472,1400,1512,982,neon,0
3.324,29.776,29.416,1400,1512,982,neon,0
3.524,29.875,30.289,1400,1512,982,neon,0
3.725,29.904,29.712,1400,1512,982,neon,0
3.932,29.453,29.076,1400,1512,982,neon,0
4.141,29.040,28.403,1400,1512,982,neon,0
4.358,28.439,28.357,1400,1512,982,neon,0
4.569,28.441,28.024,1400,1512,982,neon,0
4.778,28.591,29.468,1400,1512,982,neon,0
4.982,28.991,29.505,1400,1512,982,neon,0
5.185,29.316,29.523,1400,1512,982,neon,0
5.388,29.404,29.157,1400,1512,982,neon,0
5.590,29.506,29.665,1400,1512,982,neon,0
5.790,29.773,30.444,1400,1512,982,neon,0
6.003,29.100,29.967,1400,1512,982,neon,0
6.235,29.698,30.077,1400,1512,982,neon,0
6.464,30.170,30.427,1400,1512,982,neon,0
6.690,30.592,31.304,1400,1512,982,neon,0
6.913,31.005,31.892,1400,1512,982,neon,0
7.136,31.256,31.717,1400,1512,982,neon,0
7.359,31.317,30.692,1400,1512,982,neon,0
7.583,31.296,32.014,1400,1512,982,neon,0
7.814,30.810,31.313,1400,1512,982,neon,0
8.045,30.527,30.182,1400,1512,982,neon,0
8.274,30.513,30.599,1400,1512,982,neon,0
8.506,30.352,30.199,1400,1512,982,neon,0
8.709,29.937,28.977,1400,1512,982,neon,0
8.915,29.593,29.639,1400,1512,982,neon,0
9.119,29.571,29.868,1400,1512,982,neon,0
9.324,29.402,29.586,1400,1512,982,neon,0
9.529,29.357,29.325,1400,1512,982,neon,0
9.733,29.328,28.719,1400,1512,982,neon,0
9.937,29.406,29.732,1400,1512,982,neon,0
10.139,29.564,29.402,1400,1512,982,neon,0
10.338,29.820,29.925,1400,1512,982,neon,0
10.570,30.030,30.641,1400,1512,982,neon,0
10.770,29.988,29.083,1400,1512,982,neon,0
11.002,30.094,29.945,1400,1512,982,neon,0
11.231,30.328,30.570,1400,1512,982,neon,0
11.458,30.599,31.206,1400,1512,982,neon,0
11.686,30.651,30.352,1400,1512,982,neon,0
