time_s,smoothed_fps,fps_inst,n,width,height,palette,vsync
0.050,3.147,3.147,1400,1512,982,neon,0
0.218,9.634,26.372,1400,1512,982,neon,0
0.421,15.671,19.231,1400,1512,982,neon,0
0.653,20.568,26.959,1400,1512,982,neon,0
0.869,24.017,29.071,1400,1512,982,neon,0
1.070,26.762,30.665,1400,1512,982,neon,0
1.295,29.051,30.849,1400,1512,982,neon,0
1.523,29.909,30.004,1400,1512,982,neon,0
1.748,30.483,30.921,1400,1512,982,neon,0
1.977,30.649,31.406,1400,1512,982,neon,0
2.206,30.577,30.540,1400,1512,982,neon,0
2.408,30.287,30.655,1400,1512,982,neon,0
2.639,30.300,30.239,1400,1512,982,neon,0
2.867,30.525,31.042,1400,1512,982,neon,0
3.096,30.512,30.556,1400,1512,982,neon,0
3.325,30.481,29.601,1400,1512,982,neon,0
3.526,30.223,29.526,1400,1512,982,neon,0
3.758,30.189,29.604,1400,1512,982,neon,0
3.959,30.024,30.313,1400,1512,982,neon,0
4.168,29.415,28.187,1400,1512,982,neon,0
4.376,29.132,29.498,1400,1512,982,neon,0
4.583,29.112,29.468,1400,1512,982,neon,0
4.786,29.310,29.867,1400,1512,982,neon,0
4.989,29.432,29.319,1400,1512,982,neon,0
5.191,29.583,29.796,1400,1512,982,neon,0
5.392,29.711,30.507,1400,1512,982,neon,0
5.592,29.875,30.779,1400,1512,982,neon,0
5.792,29.932,29.829,1400,1512,982,neon,0
6.019,30.483,30.818,1400,1512,982,neon,0
6.243,30.877,31.596,1400,1512,982,neon,0
6.473,30.630,29.930,1400,1512,982,neon,0
6.699,30.861,31.283,1400,1512,982,neon,0
6.926,30.845,30.784,1400,1512,982,neon,0
7.151,30.966,31.027,1400,1512,982,neon,0
7.375,31.072,30.666,1400,1512,982,neon,0
7.598,31.253,30.766,1400,1512,982,neon,0
7.822,31.245,31.888,1400,1512,982,neon,0
8.050,30.900,30.172,1400,1512,982,neon,0
8.277,30.833,30.861,1400,1512,982,neon,0
8.478,30.385,29.534,1400,1512,982,neon,0
8.708,30.401,30.268,1400,1512,982,neon,0
8.908,30.217,30.578,1400,1512,982,neon,0
9.111,29.908,29.047,1400,1512,982,neon,0
9.316,29.637,29.730,1400,1512,982,neon,0
9.524,29.282,28.735,1400,1512,982,neon,0
9.725,29.565,30.105,1400,1512,982,neon,0
9.927,29.627,30.169,1400,1512,982,neon,0
10.128,29.762,30.647,1400,1512,982,neon,0
10.329,29.781,30.020,1400,1512,982,neon,0
10.530,29.853,29.727,1400,1512,982,neon,0
10.760,30.129,29.850,1400,1512,982,neon,0
10.965,29.812,29.819,1400,1512,982,neon,0
11.197,29.986,30.389,1400,1512,982,neon,0
11.426,30.326,30.950,1400,1512,982,neon,0
11.652,30.708,31.725,1400,1512,982,neon,0
