time_s,smoothed_fps,fps_inst,n,width,height,palette,vsync
0.050,3.142,3.142,1400,1512,982,neon,0
0.213,9.987,26.695,1400,1512,982,neon,0
0.415,15.903,19.061,1400,1512,982,neon,0
0.616,19.637,26.025,1400,1512,982,neon,0
0.837,23.237,28.427,1400,1512,982,neon,0
1.038,26.395,30.710,1400,1512,982,neon,0
1.242,27.863,29.568,1400,1512,982,neon,0
1.445,28.638,29.107,1400,1512,982,neon,0
1.646,29.202,29.438,1400,1512,982,neon,0
1.876,29.827,31.028,1400,1512,982,neon,0
2.106,30.196,31.108,1400,1512,982,neon,0
2.313,29.626,29.191,1400,1512,982,neon,0
2.514,29.749,29.674,1400,1512,982,neon,0
2.743,30.152,30.982,1400,1512,982,neon,0
2.976,30.135,30.164,1400,1512,982,neon,0
3.205,30.368,31.226,1400,1512,982,neon,0
3.436,30.378,30.654,1400,1512,982,neon,0
3.667,30.326,30.415,1400,1512,982,neon,0
3.900,30.219,30.308,1400,1512,982,neon,0
4.131,30.270,30.527,1400,1512,982,neon,0
4.331,30.144,29.606,1400,1512,982,neon,0
4.532,29.964,29.615,1400,1512,982,neon,0
4.733,29.898,29.769,1400,1512,982,neon,0
4.936,29.707,28.785,1400,1512,982,neon,0
5.136,29.881,30.667,1400,1512,982,neon,0
5.367,30.120,30.780,1400,1512,982,neon,0
5.567,30.023,29.739,1400,1512,982,neon,0
5.776,29.451,28.785,1400,1512,982,neon,0
6.005,30.044,31.203,1400,1512,982,neon,0
6.232,30.489,30.433,1400,1512,982,neon,0
6.456,30.896,32.040,1400,1512,982,neon,0
6.680,31.071,31.329,1400,1512,982,neon,0
6.901,31.376,31.065,1400,1512,982,neon,0
7.121,31.659,32.324,1400,1512,982,neon,0
7.340,31.851,32.668,1400,1512,982,neon,0
7.560,31.839,31.741,1400,1512,982,neon,0
7.779,31.889,31.620,1400,1512,982,neon,0
8.003,31.558,31.324,1400,1512,982,neon,0
8.229,31.170,30.490,1400,1512,982,neon,0
8.461,30.683,30.585,1400,1512,982,neon,0
8.689,30.687,30.905,1400,1512,982,neon,0
8.890,30.281,30.159,1400,1512,982,neon,0
9.122,30.248,29.747,1400,1512,982,neon,0
9.324,29.916,27.891,1400,1512,982,neon,0
9.536,29.169,28.730,1400,1512,982,neon,0
9.740,29.326,29.341,1400,1512,982,neon,0
9.973,29.690,30.074,1400,1512,982,neon,0
10.204,30.058,30.196,1400,1512,982,neon,0
10.431,30.407,30.444,1400,1512,982,neon,0
10.659,30.605,30.184,1400,1512,982,neon,0
10.859,30.350,30.008,1400,1512,982,neon,0
11.084,30.734,31.342,1400,1512,982,neon,0
11.308,31.066,31.702,1400,1512,982,neon,0
11.530,31.290,31.569,1400,1512,982,neon,0
