time_s,smoothed_fps,fps_inst,n,width,height,palette,vsync
0.050,3.144,3.144,1400,1512,982,ocean,0
0.222,9.471,26.571,1400,1512,982,ocean,0
0.433,15.193,23.644,1400,1512,982,ocean,0
0.665,20.258,26.893,1400,1512,982,ocean,0
0.886,23.506,27.665,1400,1512,982,ocean,0
1.092,26.217,30.342,1400,1512,982,ocean,0
1.323,28.368,30.628,1400,1512,982,ocean,0
1.555,29.294,30.215,1400,1512,982,ocean,0
1.786,29.800,29.454,1400,1512,982,ocean,0
2.015,30.213,30.809,1400,1512,982,ocean,0
2.217,29.972,29.492,1400,1512,982,ocean,0
2.417,29.949,29.614,1400,1512,982,ocean,0
2.650,30.041,29.620,1400,1512,982,ocean,0
2.882,30.125,30.236,1400,1512,982,ocean,0
3.090,29.512,28.470,1400,1512,982,ocean,0
3.305,28.777,29.842,1400,1512,982,ocean,0
3.509,29.125,30.012,1400,1512,982,ocean,0
3.711,29.438,30.331,1400,1512,982,ocean,0
3.912,29.623,29.742,1400,1512,982,ocean,0
4.114,29.627,29.362,1400,1512,982,ocean,0
4.317,29.600,29.385,1400,1512,982,ocean,0
4.519,29.646,29.512,1400,1512,982,ocean,0
4.720,29.758,29.759,1400,1512,982,ocean,0
4.922,29.759,30.369,1400,1512,982,ocean,0
5.154,29.986,30.383,1400,1512,982,ocean,0
5.386,30.133,30.584,1400,1512,982,ocean,0
5.616,30.275,30.776,1400,1512,982,ocean,0
5.846,30.421,30.687,1400,1512,982,ocean,0
6.075,30.448,30.527,1400,1512,982,ocean,0
6.300,30.847,31.365,1400,1512,982,ocean,0
6.522,31.185,31.892,1400,1512,982,ocean,0
6.743,31.491,32.231,1400,1512,982,ocean,0
6.966,31.378,30.119,1400,1512,982,ocean,0
7.186,31.649,32.554,1400,1512,982,ocean,0
7.406,31.731,31.335,1400,1512,982,ocean,0
7.626,31.792,32.367,1400,1512,982,ocean,0
7.849,31.615,30.679,1400,1512,982,ocean,0
8.072,31.521,32.012,1400,1512,982,ocean,0
8.297,31.254,29.542,1400,1512,982,ocean,0
8.524,31.089,31.319,1400,1512,982,ocean,0
8.754,30.733,30.441,1400,1512,982,ocean,0
8.956,30.256,30.153,1400,1512,982,ocean,0
9.158,30.022,29.548,1400,1512,982,ocean,0
9.360,29.845,29.757,1400,1512,982,ocean,0
9.562,29.818,29.325,1400,1512,982,ocean,0
9.763,29.792,29.243,1400,1512,982,ocean,0
9.965,29.802,29.440,1400,1512,982,ocean,0
10.196,30.001,30.285,1400,1512,982,ocean,0
10.429,30.038,29.970,1400,1512,982,ocean,0
10.658,30.314,30.551,1400,1512,982,ocean,0
10.887,30.454,30.271,1400,1512,982,ocean,0
11.113,30.734,31.377,1400,1512,982,ocean,0
11.340,30.816,29.837,1400,1512,982,ocean,0
11.564,31.003,31.323,1400,1512,982,ocean,0
