time_s,smoothed_fps,fps_inst,n,width,height,palette,vsync
0.050,3.206,3.206,1400,1512,982,ocean,0
0.221,9.558,26.133,1400,1512,982,ocean,0
0.426,15.449,18.185,1400,1512,982,ocean,0
0.663,20.159,26.328,1400,1512,982,ocean,0
0.891,23.054,27.314,1400,1512,982,ocean,0
1.094,26.185,30.797,1400,1512,982,ocean,0
1.322,28.574,30.869,1400,1512,982,ocean,0
1.552,29.539,30.678,1400,1512,982,ocean,0
1.781,30.133,30.986,1400,1512,982,ocean,0
2.012,30.257,31.000,1400,1512,982,ocean,0
2.244,30.258,30.003,1400,1512,982,ocean,0
2.472,30.442,30.467,1400,1512,982,ocean,0
2.678,29.835,28.994,1400,1512,982,ocean,0
2.879,29.942,30.070,1400,1512,982,ocean,0
3.109,30.186,30.069,1400,1512,982,ocean,0
3.309,30.048,27.410,1400,1512,982,ocean,0
3.525,28.940,27.418,1400,1512,982,ocean,0
3.736,28.754,28.519,1400,1512,982,ocean,0
3.942,28.973,28.799,1400,1512,982,ocean,0
4.146,29.138,28.945,1400,1512,982,ocean,0
4.350,29.280,29.614,1400,1512,982,ocean,0
4.554,29.362,29.672,1400,1512,982,ocean,0
4.756,29.483,29.328,1400,1512,982,ocean,0
4.958,29.573,29.289,1400,1512,982,ocean,0
5.162,29.496,29.405,1400,1512,982,ocean,0
5.362,29.733,29.649,1400,1512,982,ocean,0
5.593,30.040,30.290,1400,1512,982,ocean,0
5.823,30.295,31.046,1400,1512,982,ocean,0
6.051,30.559,30.593,1400,1512,982,ocean,0
6.274,30.972,31.918,1400,1512,982,ocean,0
6.500,31.001,31.354,1400,1512,982,ocean,0
6.724,31.108,31.266,1400,1512,982,ocean,0
6.945,31.413,31.987,1400,1512,982,ocean,0
7.166,31.566,31.719,1400,1512,982,ocean,0
7.385,31.732,32.066,1400,1512,982,ocean,0
7.607,31.657,31.275,1400,1512,982,ocean,0
7.835,31.129,29.806,1400,1512,982,ocean,0
8.038,30.360,27.441,1400,1512,982,ocean,0
8.237,30.238,29.797,1400,1512,982,ocean,0
8.438,30.067,29.597,1400,1512,982,ocean,0
8.645,29.530,28.984,1400,1512,982,ocean,0
8.849,29.483,29.207,1400,1512,982,ocean,0
9.056,29.199,28.599,1400,1512,982,ocean,0
9.265,28.971,29.016,1400,1512,982,ocean,0
9.473,28.897,29.223,1400,1512,982,ocean,0
9.678,29.070,28.971,1400,1512,982,ocean,0
9.884,29.075,28.285,1400,1512,982,ocean,0
10.093,28.907,28.607,1400,1512,982,ocean,0
10.298,29.117,29.404,1400,1512,982,ocean,0
10.503,29.181,29.396,1400,1512,982,ocean,0
10.705,29.416,30.126,1400,1512,982,ocean,0
10.938,29.790,29.980,1400,1512,982,ocean,0
11.170,29.943,28.904,1400,1512,982,ocean,0
11.371,29.914,30.268,1400,1512,982,ocean,0
11.602,30.103,30.361,1400,1512,982,ocean,0
