time_s,smoothed_fps,fps_inst,n,width,height,palette,vsync
0.050,3.169,3.169,1400,1512,982,ocean,0
0.214,9.921,27.292,1400,1512,982,ocean,0
0.420,15.643,18.583,1400,1512,982,ocean,0
0.656,20.323,26.340,1400,1512,982,ocean,0
0.870,24.025,29.278,1400,1512,982,ocean,0
1.075,26.478,29.275,1400,1512,982,ocean,0
1.277,28.050,30.347,1400,1512,982,ocean,0
1.504,29.530,30.873,1400,1512,982,ocean,0
1.735,29.783,28.299,1400,1512,982,ocean,0
1.937,29.861,31.241,1400,1512,982,ocean,0
2.137,29.976,30.209,1400,1512,982,ocean,0
2.364,30.412,31.668,1400,1512,982,ocean,0
2.591,30.643,30.539,1400,1512,982,ocean,0
2.815,30.953,31.319,1400,1512,982,ocean,0
3.041,30.978,29.994,1400,1512,982,ocean,0
3.267,30.995,31.350,1400,1512,982,ocean,0
3.493,30.911,30.215,1400,1512,982,ocean,0
3.724,30.659,30.224,1400,1512,982,ocean,0
3.924,30.277,29.771,1400,1512,982,ocean,0
4.156,30.192,30.037,1400,1512,982,ocean,0
4.358,29.957,29.195,1400,1512,982,ocean,0
4.558,29.976,29.443,1400,1512,982,ocean,0
4.758,29.966,30.294,1400,1512,982,ocean,0
4.959,29.949,29.735,1400,1512,982,ocean,0
5.191,30.094,30.242,1400,1512,982,ocean,0
5.418,30.516,31.439,1400,1512,982,ocean,0
5.646,30.583,30.321,1400,1512,982,ocean,0
5.874,30.696,31.506,1400,1512,982,ocean,0
6.097,31.112,31.817,1400,1512,982,ocean,0
6.316,31.537,32.462,1400,1512,982,ocean,0
6.537,31.704,31.669,1400,1512,982,ocean,0
6.756,31.747,31.270,1400,1512,982,ocean,0
6.978,31.740,31.128,1400,1512,982,ocean,0
7.196,31.880,32.720,1400,1512,982,ocean,0
7.415,31.973,32.522,1400,1512,982,ocean,0
7.639,31.593,30.926,1400,1512,982,ocean,0
7.863,31.359,30.649,1400,1512,982,ocean,0
8.094,30.793,30.111,1400,1512,982,ocean,0
8.322,30.726,30.102,1400,1512,982,ocean,0
8.522,30.438,30.579,1400,1512,982,ocean,0
8.722,30.224,30.403,1400,1512,982,ocean,0
8.925,29.912,29.115,1400,1512,982,ocean,0
9.127,29.810,29.890,1400,1512,982,ocean,0
9.328,29.832,29.764,1400,1512,982,ocean,0
9.530,29.768,29.845,1400,1512,982,ocean,0
9.731,29.769,29.818,1400,1512,982,ocean,0
9.933,29.725,29.872,1400,1512,982,ocean,0
10.135,29.773,30.183,1400,1512,982,ocean,0
10.366,30.095,30.908,1400,1512,982,ocean,0
10.596,30.292,30.871,1400,1512,982,ocean,0
10.824,30.534,31.358,1400,1512,982,ocean,0
11.049,30.829,31.474,1400,1512,982,ocean,0
11.274,30.990,31.097,1400,1512,982,ocean,0
11.504,30.628,30.346,1400,1512,982,ocean,0
