time_s,smoothed_fps,fps_inst,n,width,height,palette,vsync
0.050,3.147,3.147,1400,1512,982,ocean,0
0.216,9.805,27.725,1400,1512,982,ocean,0
0.419,15.807,19.318,1400,1512,982,ocean,0
0.651,20.624,26.915,1400,1512,982,ocean,0
0.868,23.948,28.964,1400,1512,982,ocean,0
1.070,26.780,31.110,1400,1512,982,ocean,0
1.295,29.042,31.170,1400,1512,982,ocean,0
1.518,30.238,31.599,1400,1512,982,ocean,0
1.741,30.834,31.708,1400,1512,982,ocean,0
1.966,30.972,30.554,1400,1512,982,ocean,0
2.190,31.151,30.771,1400,1512,982,ocean,0
2.413,31.279,32.081,1400,1512,982,ocean,0
2.637,31.270,31.577,1400,1512,982,ocean,0
2.860,31.347,31.121,1400,1512,982,ocean,0
3.086,31.152,31.497,1400,1512,982,ocean,0
3.314,30.891,31.130,1400,1512,982,ocean,0
3.542,30.763,29.919,1400,1512,982,ocean,0
3.743,30.315,28.999,1400,1512,982,ocean,0
3.976,30.189,29.820,1400,1512,982,ocean,0
4.177,29.987,29.421,1400,1512,982,ocean,0
4.380,29.759,27.001,1400,1512,982,ocean,0
4.594,28.979,28.234,1400,1512,982,ocean,0
4.804,28.818,29.096,1400,1512,982,ocean,0
5.004,29.397,30.779,1400,1512,982,ocean,0
5.235,29.893,30.678,1400,1512,982,ocean,0
5.442,29.394,23.161,1400,1512,982,ocean,0
5.650,29.249,29.577,1400,1512,982,ocean,0
5.850,29.584,29.849,1400,1512,982,ocean,0
6.078,30.229,31.458,1400,1512,982,ocean,0
6.303,30.674,31.115,1400,1512,982,ocean,0
6.527,31.022,31.866,1400,1512,982,ocean,0
6.749,31.271,31.432,1400,1512,982,ocean,0
6.969,31.585,32.555,1400,1512,982,ocean,0
7.187,31.856,32.116,1400,1512,982,ocean,0
7.405,32.065,32.825,1400,1512,982,ocean,0
7.626,31.862,31.009,1400,1512,982,ocean,0
7.847,31.761,31.546,1400,1512,982,ocean,0
8.076,31.123,30.598,1400,1512,982,ocean,0
8.308,30.736,31.127,1400,1512,982,ocean,0
8.539,30.470,30.273,1400,1512,982,ocean,0
8.768,30.544,30.738,1400,1512,982,ocean,0
8.998,30.497,30.476,1400,1512,982,ocean,0
9.199,30.192,29.799,1400,1512,982,ocean,0
9.399,30.041,29.836,1400,1512,982,ocean,0
9.608,29.410,28.710,1400,1512,982,ocean,0
9.813,29.435,29.795,1400,1512,982,ocean,0
10.015,29.499,29.223,1400,1512,982,ocean,0
10.215,29.729,29.923,1400,1512,982,ocean,0
10.416,29.797,29.875,1400,1512,982,ocean,0
10.646,30.137,29.982,1400,1512,982,ocean,0
10.876,30.288,30.296,1400,1512,982,ocean,0
11.104,30.540,31.352,1400,1512,982,ocean,0
11.332,30.668,30.458,1400,1512,982,ocean,0
11.556,30.992,31.740,1400,1512,982,ocean,0
