time_s,smoothed_fps,fps_inst,n,width,height,palette,vsync
0.050,3.157,3.157,1400,1512,982,neon,0
0.220,9.541,25.043,1400,1512,982,neon,0
0.429,15.377,23.583,1400,1512,982,neon,0
0.660,20.371,26.978,1400,1512,982,neon,0
0.876,23.974,29.084,1400,1512,982,neon,0
1.105,27.441,31.107,1400,1512,982,neon,0
1.327,29.610,31.673,1400,1512,982,neon,0
1.558,29.986,31.821,1400,1512,982,neon,0
1.786,30.314,29.860,1400,1512,982,neon,0
1.989,30.002,30.418,1400,1512,982,neon,0
2.218,30.327,31.554,1400,1512,982,neon,0
2.442,30.796,31.044,1400,1512,982,neon,0
2.653,29.776,29.185,1400,1512,982,neon,0
2.854,29.811,30.642,1400,1512,982,neon,0
3.083,30.209,30.702,1400,1512,982,neon,0
3.312,30.412,29.793,1400,1512,982,neon,0
3.540,30.572,30.650,1400,1512,982,neon,0
3.770,30.448,29.330,1400,1512,982,neon,0
4.000,30.407,30.367,1400,1512,982,neon,0
4.204,29.936,29.312,1400,1512,982,neon,0
4.406,29.831,28.866,1400,1512,982,neon,0
4.606,29.854,29.463,1400,1512,982,neon,0
4.806,29.907,30.239,1400,1512,982,neon,0
5.006,29.967,29.379,1400,1512,982,neon,0
5.237,30.139,30.030,1400,1512,982,neon,0
5.468,30.231,29.938,1400,1512,982,neon,0
5.696,30.509,30.750,1400,1512,982,neon,0
5.925,30.624,31.659,1400,1512,982,neon,0
6.148,31.079,32.356,1400,1512,982,neon,0
6.369,31.352,31.477,1400,1512,982,neon,0
6.591,31.476,31.107,1400,1512,982,neon,0
6.809,31.782,31.432,1400,1512,982,neon,0
7.027,31.981,31.809,1400,1512,982,neon,0
7.244,32.121,31.723,1400,1512,982,neon,0
7.461,32.198,32.992,1400,1512,982,neon,0
7.679,32.185,31.510,1400,1512,982,neon,0
7.897,32.132,32.553,1400,1512,982,neon,0
8.116,32.063,31.758,1400,1512,982,neon,0
8.345,31.210,30.866,1400,1512,982,neon,0
8.577,30.635,28.759,1400,1512,982,neon,0
8.779,30.231,30.179,1400,1512,982,neon,0
8.981,29.974,29.118,1400,1512,982,neon,0
9.189,29.473,28.969,1400,1512,982,neon,0
9.394,29.279,28.629,1400,1512,982,neon,0
9.604,29.006,29.114,1400,1512,982,neon,0
9.816,28.662,28.666,1400,1512,982,neon,0
10.020,29.001,29.788,1400,1512,982,neon,0
10.222,29.398,30.335,1400,1512,982,neon,0
10.422,29.690,30.407,1400,1512,982,neon,0
10.655,29.844,29.902,1400,1512,982,neon,0
10.858,29.739,29.971,1400,1512,982,neon,0
11.091,29.927,30.261,1400,1512,982,neon,0
11.322,30.128,30.929,1400,1512,982,neon,0
11.553,30.201,29.594,1400,1512,982,neon,0
