time_s,smoothed_fps,fps_inst,n,width,height,palette,vsync
0.050,3.201,3.201,1400,1512,982,neon,0
0.182,7.683,26.297,1400,1512,982,neon,0
0.390,14.091,17.210,1400,1512,982,neon,0
0.596,18.385,26.173,1400,1512,982,neon,0
0.816,22.594,28.191,1400,1512,982,neon,0
1.029,25.244,29.017,1400,1512,982,neon,0
1.232,27.272,30.491,1400,1512,982,neon,0
1.465,28.795,30.420,1400,1512,982,neon,0
1.669,29.040,28.013,1400,1512,982,neon,0
1.875,29.087,29.610,1400,1512,982,neon,0
2.077,29.376,28.634,1400,1512,982,neon,0
2.278,29.586,29.488,1400,1512,982,neon,0
2.506,30.165,31.659,1400,1512,982,neon,0
2.737,30.270,29.618,1400,1512,982,neon,0
2.969,30.205,30.082,1400,1512,982,neon,0
3.199,30.322,30.499,1400,1512,982,neon,0
3.399,30.158,29.398,1400,1512,982,neon,0
3.606,29.594,28.781,1400,1512,982,neon,0
3.817,28.965,28.372,1400,1512,982,neon,0
4.030,28.654,28.130,1400,1512,982,neon,0
4.237,28.798,28.542,1400,1512,982,neon,0
4.443,28.942,29.417,1400,1512,982,neon,0
4.655,28.727,28.500,1400,1512,982,neon,0
4.865,28.600,28.278,1400,1512,982,neon,0
5.077,28.497,29.384,1400,1512,982,neon,0
5.280,29.005,29.284,1400,1512,982,neon,0
5.481,29.423,29.659,1400,1512,982,neon,0
5.681,29.643,29.089,1400,1512,982,neon,0
5.882,29.791,30.414,1400,1512,982,neon,0
6.111,30.237,30.372,1400,1512,982,neon,0
6.338,30.539,30.864,1400,1512,982,neon,0
6.565,30.644,29.693,1400,1512,982,neon,0
6.792,30.880,31.575,1400,1512,982,neon,0
7.014,31.238,31.948,1400,1512,982,neon,0
7.241,31.071,32.097,1400,1512,982,neon,0
7.469,30.852,31.063,1400,1512,982,neon,0
7.696,30.905,30.645,1400,1512,982,neon,0
7.929,30.435,29.758,1400,1512,982,neon,0
8.161,30.270,30.179,1400,1512,982,neon,0
8.363,30.026,29.299,1400,1512,982,neon,0
8.573,29.318,28.066,1400,1512,982,neon,0
8.786,28.832,28.535,1400,1512,982,neon,0
8.993,28.909,29.375,1400,1512,982,neon,0
9.204,28.763,29.542,1400,1512,982,neon,0
9.410,28.870,28.835,1400,1512,982,neon,0
9.617,28.915,28.813,1400,1512,982,neon,0
9.826,28.852,28.417,1400,1512,982,neon,0
10.031,29.032,29.350,1400,1512,982,neon,0
10.242,28.731,27.620,1400,1512,982,neon,0
10.449,28.884,29.389,1400,1512,982,neon,0
10.652,29.239,30.152,1400,1512,982,neon,0
10.855,29.406,30.046,1400,1512,982,neon,0
11.056,29.660,30.111,1400,1512,982,neon,0
11.261,29.527,30.583,1400,1512,982,neon,0
11.461,29.789,29.713,1400,1512,982,neon,0
