time_s,smoothed_fps,fps_inst,n,width,height,palette,vsync
0.050,3.141,3.141,1400,1512,982,neon,0
0.221,9.488,25.994,1400,1512,982,neon,0
0.427,15.235,17.317,1400,1512,982,neon,0
0.635,18.936,25.101,1400,1512,982,neon,0
0.861,22.548,27.537,1400,1512,982,neon,0
1.068,25.580,29.929,1400,1512,982,neon,0
1.268,27.707,30.125,1400,1512,982,neon,0
1.496,29.275,30.725,1400,1512,982,neon,0
1.696,29.680,30.808,1400,1512,982,neon,0
1.926,29.990,29.294,1400,1512,982,neon,0
2.134,29.452,28.123,1400,1512,982,neon,0
2.337,29.571,30.349,1400,1512,982,neon,0
2.538,29.713,31.080,1400,1512,982,neon,0
2.771,29.874,29.323,1400,1512,982,neon,0
2.977,29.518,28.768,1400,1512,982,neon,0
3.179,29.595,29.336,1400,1512,982,neon,0
3.391,28.995,27.381,1400,1512,982,neon,0
3.591,29.505,29.560,1400,1512,982,neon,0
3.792,29.634,29.577,1400,1512,982,neon,0
3.992,29.810,30.469,1400,1512,982,neon,0
4.225,30.003,30.292,1400,1512,982,neon,0
4.430,29.680,29.525,1400,1512,982,neon,0
4.662,29.887,29.680,1400,1512,982,neon,0
4.862,29.965,29.850,1400,1512,982,neon,0
5.094,30.096,29.773,1400,1512,982,neon,0
5.299,29.772,29.741,1400,1512,982,neon,0
5.530,30.098,31.073,1400,1512,982,neon,0
5.760,30.348,31.351,1400,1512,982,neon,0
5.986,30.647,30.600,1400,1512,982,neon,0
6.212,30.859,30.764,1400,1512,982,neon,0
6.438,31.012,32.136,1400,1512,982,neon,0
6.661,31.186,31.662,1400,1512,982,neon,0
6.880,31.652,32.835,1400,1512,982,neon,0
7.099,31.898,32.598,1400,1512,982,neon,0
7.319,31.930,32.831,1400,1512,982,neon,0
7.548,31.195,31.359,1400,1512,982,neon,0
7.768,31.510,31.595,1400,1512,982,neon,0
7.995,31.118,30.513,1400,1512,982,neon,0
8.198,30.381,30.168,1400,1512,982,neon,0
8.399,30.216,30.854,1400,1512,982,neon,0
8.633,30.017,29.227,1400,1512,982,neon,0
8.835,29.832,29.656,1400,1512,982,neon,0
9.042,29.464,29.163,1400,1512,982,neon,0
9.246,29.376,29.209,1400,1512,982,neon,0
9.452,29.282,29.394,1400,1512,982,neon,0
9.660,29.161,29.389,1400,1512,982,neon,0
9.864,29.291,29.195,1400,1512,982,neon,0
10.067,29.409,29.220,1400,1512,982,neon,0
10.271,29.399,29.514,1400,1512,982,neon,0
10.474,29.426,28.723,1400,1512,982,neon,0
10.674,29.692,30.170,1400,1512,982,neon,0
10.905,30.043,30.796,1400,1512,982,neon,0
11.138,30.031,28.841,1400,1512,982,neon,0
11.338,29.956,29.441,1400,1512,982,neon,0
11.546,29.515,30.816,1400,1512,982,neon,0
