time_s,smoothed_fps,fps_inst,n,width,height,palette,vsync
0.050,3.195,3.195,1400,1512,982,ocean,0
0.221,9.601,27.053,1400,1512,982,ocean,0
0.431,15.266,23.591,1400,1512,982,ocean,0
0.632,19.329,26.549,1400,1512,982,ocean,0
0.848,23.309,28.727,1400,1512,982,ocean,0
1.056,25.918,29.074,1400,1512,982,ocean,0
1.256,27.876,30.873,1400,1512,982,ocean,0
1.485,29.323,31.167,1400,1512,982,ocean,0
1.712,30.101,30.757,1400,1512,982,ocean,0
1.913,29.961,29.289,1400,1512,982,ocean,0
2.125,29.120,27.722,1400,1512,982,ocean,0
2.356,29.728,30.541,1400,1512,982,ocean,0
2.586,30.088,30.128,1400,1512,982,ocean,0
2.813,30.491,31.543,1400,1512,982,ocean,0
3.043,30.512,30.937,1400,1512,982,ocean,0
3.271,30.632,30.809,1400,1512,982,ocean,0
3.500,30.583,29.865,1400,1512,982,ocean,0
3.701,30.272,30.036,1400,1512,982,ocean,0
3.902,30.063,29.948,1400,1512,982,ocean,0
4.135,29.996,29.394,1400,1512,982,ocean,0
4.336,29.928,29.649,1400,1512,982,ocean,0
4.538,29.897,30.466,1400,1512,982,ocean,0
4.738,29.932,30.442,1400,1512,982,ocean,0
4.940,29.899,30.498,1400,1512,982,ocean,0
5.142,29.832,30.237,1400,1512,982,ocean,0
5.342,29.866,30.066,1400,1512,982,ocean,0
5.574,30.078,30.828,1400,1512,982,ocean,0
5.802,30.410,31.848,1400,1512,982,ocean,0
6.030,30.614,30.964,1400,1512,982,ocean,0
6.253,31.028,31.862,1400,1512,982,ocean,0
6.474,31.364,31.926,1400,1512,982,ocean,0
6.697,31.383,30.738,1400,1512,982,ocean,0
6.920,31.406,30.853,1400,1512,982,ocean,0
7.140,31.562,30.937,1400,1512,982,ocean,0
7.360,31.725,31.370,1400,1512,982,ocean,0
7.581,31.669,31.790,1400,1512,982,ocean,0
7.800,31.838,31.958,1400,1512,982,ocean,0
8.032,30.937,29.729,1400,1512,982,ocean,0
8.266,30.380,29.317,1400,1512,982,ocean,0
8.498,30.279,30.601,1400,1512,982,ocean,0
8.699,30.096,30.065,1400,1512,982,ocean,0
8.899,30.031,29.851,1400,1512,982,ocean,0
9.110,29.293,28.826,1400,1512,982,ocean,0
9.318,29.080,28.722,1400,1512,982,ocean,0
9.521,29.244,29.597,1400,1512,982,ocean,0
9.727,29.243,28.950,1400,1512,982,ocean,0
9.934,29.116,29.576,1400,1512,982,ocean,0
10.138,29.201,28.807,1400,1512,982,ocean,0
10.340,29.497,30.135,1400,1512,982,ocean,0
10.541,29.622,29.689,1400,1512,982,ocean,0
10.773,29.958,30.089,1400,1512,982,ocean,0
11.005,30.011,29.681,1400,1512,982,ocean,0
11.235,30.232,30.636,1400,1512,982,ocean,0
11.464,30.432,29.629,1400,1512,982,ocean,0
11.692,30.584,30.835,1400,1512,982,ocean,0
