time_s,smoothed_fps,fps_inst,n,width,height,palette,vsync
0.050,3.185,3.185,1400,1512,982,neon,0
0.185,7.502,25.671,1400,1512,982,neon,0
0.396,13.980,18.982,1400,1512,982,neon,0
0.631,19.462,25.864,1400,1512,982,neon,0
0.848,23.383,28.867,1400,1512,982,neon,0
1.052,26.211,28.805,1400,1512,982,neon,0
1.254,27.853,29.541,1400,1512,982,neon,0
1.483,29.306,31.069,1400,1512,982,neon,0
1.709,30.191,30.813,1400,1512,982,neon,0
1.937,30.497,30.627,1400,1512,982,neon,0
2.149,29.477,28.534,1400,1512,982,neon,0
2.357,29.263,29.647,1400,1512,982,neon,0
2.588,29.859,30.667,1400,1512,982,neon,0
2.818,30.190,30.409,1400,1512,982,neon,0
3.048,30.328,30.715,1400,1512,982,neon,0
3.278,30.319,29.971,1400,1512,982,neon,0
3.483,29.861,29.048,1400,1512,982,neon,0
3.684,29.869,30.090,1400,1512,982,neon,0
3.887,29.763,30.050,1400,1512,982,neon,0
4.091,29.599,29.100,1400,1512,982,neon,0
4.294,29.622,30.080,1400,1512,982,neon,0
4.500,29.372,29.032,1400,1512,982,neon,0
4.702,29.555,30.094,1400,1512,982,neon,0
4.908,29.338,28.961,1400,1512,982,neon,0
5.110,29.511,28.901,1400,1512,982,neon,0
5.311,29.709,30.549,1400,1512,982,neon,0
5.514,29.636,29.749,1400,1512,982,neon,0
5.746,29.964,30.588,1400,1512,982,neon,0
5.975,30.265,30.890,1400,1512,982,neon,0
6.206,30.328,30.433,1400,1512,982,neon,0
6.432,30.758,32.061,1400,1512,982,neon,0
6.657,30.920,31.074,1400,1512,982,neon,0
6.879,31.290,32.436,1400,1512,982,neon,0
7.102,31.355,30.846,1400,1512,982,neon,0
7.328,31.175,31.643,1400,1512,982,neon,0
7.552,31.330,32.311,1400,1512,982,neon,0
7.771,31.675,32.524,1400,1512,982,neon,0
7.993,31.621,31.697,1400,1512,982,neon,0
8.224,30.821,29.617,1400,1512,982,neon,0
8.457,30.451,30.278,1400,1512,982,neon,0
8.658,30.136,29.379,1400,1512,982,neon,0
8.866,29.556,28.740,1400,1512,982,neon,0
9.068,29.611,29.534,1400,1512,982,neon,0
9.275,29.259,28.244,1400,1512,982,neon,0
9.490,28.666,28.689,1400,1512,982,neon,0
9.697,28.809,28.761,1400,1512,982,neon,0
9.905,28.808,29.001,1400,1512,982,neon,0
10.113,28.895,29.296,1400,1512,982,neon,0
10.316,29.174,29.869,1400,1512,982,neon,0
10.520,29.274,29.427,1400,1512,982,neon,0
10.723,29.446,29.732,1400,1512,982,neon,0
10.956,29.780,29.801,1400,1512,982,neon,0
11.185,30.171,30.801,1400,1512,982,neon,0
11.412,30.512,31.290,1400,1512,982,neon,0
11.640,30.630,31.215,1400,1512,982,neon,0
