time_s,smoothed_fps,fps_inst,n,width,height,palette,vsync
0.050,3.158,3.158,1400,1512,982,ocean,0
0.218,9.710,25.880,1400,1512,982,ocean,0
0.433,15.040,22.067,1400,1512,982,ocean,0
0.667,20.139,27.279,1400,1512,982,ocean,0
0.880,23.957,29.262,1400,1512,982,ocean,0
1.110,27.340,30.754,1400,1512,982,ocean,0
1.335,29.390,31.445,1400,1512,982,ocean,0
1.559,30.284,30.298,1400,1512,982,ocean,0
1.783,30.777,31.254,1400,1512,982,ocean,0
2.008,30.987,31.126,1400,1512,982,ocean,0
2.233,31.081,31.443,1400,1512,982,ocean,0
2.456,31.245,31.812,1400,1512,982,ocean,0
2.680,31.220,31.107,1400,1512,982,ocean,0
2.904,31.244,31.246,1400,1512,982,ocean,0
3.128,31.211,31.444,1400,1512,982,ocean,0
3.357,30.829,29.157,1400,1512,982,ocean,0
3.586,30.717,31.078,1400,1512,982,ocean,0
3.816,30.510,30.579,1400,1512,982,ocean,0
4.046,30.502,30.435,1400,1512,982,ocean,0
4.247,30.192,29.734,1400,1512,982,ocean,0
4.479,30.118,30.194,1400,1512,982,ocean,0
4.679,30.065,29.724,1400,1512,982,ocean,0
4.879,30.065,29.986,1400,1512,982,ocean,0
5.110,30.161,30.715,1400,1512,982,ocean,0
5.339,30.329,30.335,1400,1512,982,ocean,0
5.566,30.650,31.142,1400,1512,982,ocean,0
5.793,30.782,31.339,1400,1512,982,ocean,0
6.015,31.144,31.995,1400,1512,982,ocean,0
6.238,31.294,30.447,1400,1512,982,ocean,0
6.458,31.619,32.349,1400,1512,982,ocean,0
6.679,31.667,31.770,1400,1512,982,ocean,0
6.897,31.875,31.831,1400,1512,982,ocean,0
7.120,31.518,30.086,1400,1512,982,ocean,0
7.348,31.090,30.549,1400,1512,982,ocean,0
7.573,31.106,30.483,1400,1512,982,ocean,0
7.796,31.218,31.024,1400,1512,982,ocean,0
7.996,30.647,29.298,1400,1512,982,ocean,0
8.209,29.549,29.230,1400,1512,982,ocean,0
8.415,29.364,29.103,1400,1512,982,ocean,0
8.618,29.450,29.891,1400,1512,982,ocean,0
8.820,29.553,29.779,1400,1512,982,ocean,0
9.023,29.567,30.188,1400,1512,982,ocean,0
9.226,29.599,29.898,1400,1512,982,ocean,0
9.431,29.349,28.660,1400,1512,982,ocean,0
9.636,29.312,28.975,1400,1512,982,ocean,0
9.841,29.331,29.737,1400,1512,982,ocean,0
10.044,29.464,29.296,1400,1512,982,ocean,0
10.245,29.641,29.896,1400,1512,982,ocean,0
10.445,29.796,29.839,1400,1512,982,ocean,0
10.646,29.849,29.589,1400,1512,982,ocean,0
10.846,29.874,29.206,1400,1512,982,ocean,0
11.078,30.056,30.689,1400,1512,982,ocean,0
11.308,30.266,30.684,1400,1512,982,ocean,0
11.536,30.470,30.224,1400,1512,982,ocean,0
