time_s,smoothed_fps,fps_inst,n,width,height,palette,vsync
0.050,3.166,3.166,1400,1512,982,neon,0
0.229,9.068,21.008,1400,1512,982,neon,0
0.443,15.040,26.246,1400,1512,982,neon,0
0.669,20.438,26.661,1400,1512,982,neon,0
0.884,24.037,29.116,1400,1512,982,neon,0
1.092,26.274,29.256,1400,1512,982,neon,0
1.296,27.807,30.234,1400,1512,982,neon,0
1.527,29.153,30.385,1400,1512,982,neon,0
1.759,29.570,29.281,1400,1512,982,neon,0
1.969,29.095,28.072,1400,1512,982,neon,0
2.170,29.477,30.790,1400,1512,982,neon,0
2.401,29.943,30.834,1400,1512,982,neon,0
2.630,30.318,30.732,1400,1512,982,neon,0
2.859,30.377,30.190,1400,1512,982,neon,0
3.087,30.558,30.971,1400,1512,982,neon,0
3.319,30.343,29.942,1400,1512,982,neon,0
3.523,29.893,29.664,1400,1512,982,neon,0
3.725,29.850,29.831,1400,1512,982,neon,0
3.929,29.601,28.607,1400,1512,982,neon,0
4.136,29.251,27.526,1400,1512,982,neon,0
4.341,29.271,29.316,1400,1512,982,neon,0
4.544,29.455,29.286,1400,1512,982,neon,0
4.745,29.579,30.032,1400,1512,982,neon,0
4.947,29.698,30.137,1400,1512,982,neon,0
5.152,29.489,28.713,1400,1512,982,neon,0
5.384,29.835,30.441,1400,1512,982,neon,0
5.616,29.985,28.841,1400,1512,982,neon,0
5.818,29.908,30.119,1400,1512,982,neon,0
6.047,30.179,30.445,1400,1512,982,neon,0
6.273,30.657,31.068,1400,1512,982,neon,0
6.499,30.852,32.002,1400,1512,982,neon,0
6.728,30.820,30.919,1400,1512,982,neon,0
6.950,31.205,31.292,1400,1512,982,neon,0
7.176,31.073,31.395,1400,1512,982,neon,0
7.398,31.311,30.335,1400,1512,982,neon,0
7.620,31.385,30.576,1400,1512,982,neon,0
7.845,31.188,29.982,1400,1512,982,neon,0
8.070,31.169,30.764,1400,1512,982,neon,0
8.301,30.698,30.280,1400,1512,982,neon,0
8.532,30.424,28.762,1400,1512,982,neon,0
8.735,30.085,29.813,1400,1512,982,neon,0
8.934,30.063,29.431,1400,1512,982,neon,0
9.143,29.514,29.748,1400,1512,982,neon,0
9.352,29.077,28.576,1400,1512,982,neon,0
9.558,29.110,28.783,1400,1512,982,neon,0
9.773,28.610,29.642,1400,1512,982,neon,0
9.979,28.851,29.467,1400,1512,982,neon,0
10.184,29.036,29.150,1400,1512,982,neon,0
10.385,29.439,29.883,1400,1512,982,neon,0
10.618,29.761,29.639,1400,1512,982,neon,0
10.817,29.876,29.891,1400,1512,982,neon,0
11.049,30.053,30.978,1400,1512,982,neon,0
11.277,30.360,30.305,1400,1512,982,neon,0
11.503,30.698,30.365,1400,1512,982,neon,0
