time_s,smoothed_fps,fps_inst,n,width,height,palette,vsync
0.050,3.149,3.149,1400,1512,982,neon,0
0.216,9.771,26.419,1400,1512,982,neon,0
0.426,15.383,23.707,1400,1512,982,neon,0
0.663,20.071,25.985,1400,1512,982,neon,0
0.881,23.686,29.288,1400,1512,982,neon,0
1.081,26.693,30.879,1400,1512,982,neon,0
1.309,28.752,29.151,1400,1512,982,neon,0
1.536,29.841,31.147,1400,1512,982,neon,0
1.769,29.858,28.395,1400,1512,982,neon,0
1.999,30.217,31.401,1400,1512,982,neon,0
2.231,30.302,30.792,1400,1512,982,neon,0
2.462,30.216,29.783,1400,1512,982,neon,0
2.666,29.871,29.583,1400,1512,982,neon,0
2.897,30.094,29.447,1400,1512,982,neon,0
3.125,30.451,31.069,1400,1512,982,neon,0
3.324,30.274,31.009,1400,1512,982,neon,0
3.525,30.092,30.751,1400,1512,982,neon,0
3.728,29.953,30.847,1400,1512,982,neon,0
3.930,29.830,30.003,1400,1512,982,neon,0
4.132,29.778,29.114,1400,1512,982,neon,0
4.343,29.223,29.731,1400,1512,982,neon,0
4.552,28.965,28.557,1400,1512,982,neon,0
4.758,29.033,28.582,1400,1512,982,neon,0
4.969,28.775,28.446,1400,1512,982,neon,0
5.186,28.291,28.414,1400,1512,982,neon,0
5.404,27.974,28.475,1400,1512,982,neon,0
5.617,28.129,27.572,1400,1512,982,neon,0
5.822,28.716,29.408,1400,1512,982,neon,0
6.027,28.927,28.814,1400,1512,982,neon,0
6.234,29.001,29.210,1400,1512,982,neon,0
6.435,29.467,31.076,1400,1512,982,neon,0
6.665,29.970,29.925,1400,1512,982,neon,0
6.886,30.866,31.910,1400,1512,982,neon,0
7.110,31.019,31.123,1400,1512,982,neon,0
7.338,30.799,30.684,1400,1512,982,neon,0
7.569,30.644,31.109,1400,1512,982,neon,0
7.797,30.586,30.810,1400,1512,982,neon,0
8.000,30.116,29.379,1400,1512,982,neon,0
8.203,29.967,30.911,1400,1512,982,neon,0
8.410,29.496,28.252,1400,1512,982,neon,0
8.621,28.992,27.475,1400,1512,982,neon,0
8.837,28.406,27.032,1400,1512,982,neon,0
9.047,28.538,29.305,1400,1512,982,neon,0
9.255,28.710,28.896,1400,1512,982,neon,0
9.463,28.776,28.515,1400,1512,982,neon,0
9.680,28.161,27.498,1400,1512,982,neon,0
9.898,27.926,29.313,1400,1512,982,neon,0
10.107,28.281,28.353,1400,1512,982,neon,0
10.314,28.605,28.665,1400,1512,982,neon,0
10.517,29.095,30.435,1400,1512,982,neon,0
10.748,29.718,30.248,1400,1512,982,neon,0
10.952,29.577,28.185,1400,1512,982,neon,0
11.162,29.183,28.797,1400,1512,982,neon,0
11.395,29.657,29.644,1400,1512,982,neon,0
11.624,30.136,30.788,1400,1512,982,neon,0
