time_s,smoothed_fps,fps_inst,n,width,height,palette,vsync
0.050,3.177,3.177,1400,1512,982,ocean,0
0.216,9.858,27.180,1400,1512,982,ocean,0
0.420,15.772,19.229,1400,1512,982,ocean,0
0.620,19.634,26.256,1400,1512,982,ocean,0
0.840,23.275,27.645,1400,1512,982,ocean,0
1.052,25.638,28.733,1400,1512,982,ocean,0
1.284,28.117,31.315,1400,1512,982,ocean,0
1.511,29.531,30.811,1400,1512,982,ocean,0
1.730,28.638,29.005,1400,1512,982,ocean,0
1.937,28.850,29.205,1400,1512,982,ocean,0
2.167,29.716,31.326,1400,1512,982,ocean,0
2.396,30.141,30.148,1400,1512,982,ocean,0
2.625,30.407,31.510,1400,1512,982,ocean,0
2.852,30.651,30.723,1400,1512,982,ocean,0
3.083,30.526,30.616,1400,1512,982,ocean,0
3.314,30.395,30.613,1400,1512,982,ocean,0
3.543,30.449,30.758,1400,1512,982,ocean,0
3.746,30.054,29.360,1400,1512,982,ocean,0
3.947,29.870,29.360,1400,1512,982,ocean,0
4.151,29.691,29.797,1400,1512,982,ocean,0
4.353,29.668,29.056,1400,1512,982,ocean,0
4.556,29.650,30.187,1400,1512,982,ocean,0
4.756,29.811,30.552,1400,1512,982,ocean,0
4.959,29.757,30.360,1400,1512,982,ocean,0
5.160,29.809,30.402,1400,1512,982,ocean,0
5.390,30.161,30.824,1400,1512,982,ocean,0
5.618,30.435,30.310,1400,1512,982,ocean,0
5.846,30.570,30.440,1400,1512,982,ocean,0
6.073,30.705,30.423,1400,1512,982,ocean,0
6.295,31.133,31.012,1400,1512,982,ocean,0
6.518,31.311,31.817,1400,1512,982,ocean,0
6.735,31.765,31.966,1400,1512,982,ocean,0
6.954,31.929,31.666,1400,1512,982,ocean,0
7.173,31.935,31.882,1400,1512,982,ocean,0
7.396,31.588,30.278,1400,1512,982,ocean,0
7.617,31.608,31.277,1400,1512,982,ocean,0
7.836,31.807,31.334,1400,1512,982,ocean,0
8.058,31.722,31.894,1400,1512,982,ocean,0
8.281,31.449,31.290,1400,1512,982,ocean,0
8.507,31.229,30.959,1400,1512,982,ocean,0
8.737,30.863,30.334,1400,1512,982,ocean,0
8.938,30.409,30.147,1400,1512,982,ocean,0
9.168,30.402,30.631,1400,1512,982,ocean,0
9.370,30.020,29.405,1400,1512,982,ocean,0
9.571,29.958,29.705,1400,1512,982,ocean,0
9.773,29.863,29.610,1400,1512,982,ocean,0
9.975,29.783,28.869,1400,1512,982,ocean,0
10.207,29.916,29.682,1400,1512,982,ocean,0
10.438,30.148,29.791,1400,1512,982,ocean,0
10.640,30.010,30.374,1400,1512,982,ocean,0
10.868,30.394,31.809,1400,1512,982,ocean,0
11.093,30.797,31.723,1400,1512,982,ocean,0
11.315,31.235,32.216,1400,1512,982,ocean,0
11.544,30.859,30.172,1400,1512,982,ocean,0
