time_s,smoothed_fps,fps_inst,n,width,height,palette,vsync,threads,ssaa,render_frac,sym
18.331,90.604,91.909,1500,1512,982,neon,0,10,1,1.00,6
18.527,87.070,110.286,1500,1512,982,neon,0,10,1,1.00,6
18.742,100.149,103.358,1500,1512,982,neon,0,10,1,1.00,6
18.947,108.131,112.731,1500,1512,982,neon,0,10,1,1.00,6
19.148,114.429,115.097,1500,1512,982,neon,0,10,1,1.00,6
19.351,118.874,118.968,1500,1512,982,neon,0,10,1,1.00,6
19.551,125.282,125.427,1500,1512,982,neon,0,10,1,1.00,6
19.753,129.356,134.916,1500,1512,982,neon,0,10,1,1.00,6
19.960,129.696,131.186,1500,1512,982,neon,0,10,1,1.00,6
20.165,137.130,139.586,1500,1512,982,neon,0,10,1,1.00,6
20.371,130.008,130.614,1500,1512,982,neon,0,10,1,1.00,6
20.576,106.399,59.274,1500,1512,982,neon,0,10,1,1.00,6
20.784,96.541,123.606,1500,1512,982,neon,0,10,1,1.00,6
20.980,95.518,79.152,1500,1512,982,neon,0,10,1,1.00,6
21.185,95.136,58.986,1500,1512,982,neon,0,10,1,1.00,6
21.384,102.012,128.364,1500,1512,982,neon,0,10,1,1.00,6
21.584,100.007,72.264,1500,1512,982,neon,0,10,1,1.00,6
21.792,86.894,60.411,1500,1512,982,neon,0,10,1,1.00,6
21.992,94.641,121.806,1500,1512,982,neon,0,10,1,1.00,6
22.201,92.423,118.814,1500,1512,982,neon,0,10,1,1.00,6
22.401,90.983,118.893,1500,1512,982,neon,0,10,1,1.00,6
22.601,90.411,115.682,1500,1512,982,neon,0,10,1,1.00,6
22.802,89.312,114.921,1500,1512,982,neon,0,10,1,1.00,6
23.012,103.551,107.106,1500,1512,982,neon,0,10,1,1.00,6
23.212,110.578,113.097,1500,1512,982,neon,0,10,1,1.00,6
23.413,109.056,106.309,1500,1512,982,neon,0,10,1,1.00,6
23.615,108.072,104.577,1500,1512,982,neon,0,10,1,1.00,6
23.820,102.934,101.558,1500,1512,982,neon,0,10,1,1.00,6
24.028,106.737,108.405,1500,1512,982,neon,0,10,1,1.00,6
24.236,110.620,110.451,1500,1512,982,neon,0,10,1,1.00,6
24.440,112.580,110.318,1500,1512,982,neon,0,10,1,1.00,6
24.640,104.485,106.936,1500,1512,982,neon,0,10,1,1.00,6
24.844,106.932,111.962,1500,1512,982,neon,0,10,1,1.00,6
25.051,93.266,117.533,1500,1512,982,neon,0,10,1,1.00,6
25.268,87.554,61.215,1500,1512,982,neon,0,10,1,1.00,6
25.467,87.700,59.441,1500,1512,982,neon,0,10,1,1.00,6
25.661,93.106,137.737,1500,1512,982,neon,0,10,1,1.00,6
25.870,87.513,93.280,1500,1512,982,neon,0,10,1,1.00,6
26.071,83.338,86.208,1500,1512,982,neon,0,10,1,1.00,6
26.275,91.115,122.795,1500,1512,982,neon,0,10,1,1.00,6
26.467,90.640,119.911,1500,1512,982,neon,0,10,1,1.00,6
26.676,88.699,73.553,1500,1512,982,neon,0,10,1,1.00,6
26.875,92.459,123.759,1500,1512,982,neon,0,10,1,1.00,6
27.068,93.974,112.397,1500,1512,982,neon,0,10,1,1.00,6
27.276,91.406,61.004,1500,1512,982,neon,0,10,1,1.00,6
27.479,91.238,83.893,1500,1512,982,neon,0,10,1,1.00,6
27.675,90.015,121.980,1500,1512,982,neon,0,10,1,1.00,6
27.884,91.662,121.240,1500,1512,982,neon,0,10,1,1.00,6
28.084,90.863,123.376,1500,1512,982,neon,0,10,1,1.00,6
28.293,91.785,119.848,1500,1512,982,neon,0,10,1,1.00,6
28.493,91.378,118.825,1500,1512,982,neon,0,10,1,1.00,6
28.693,90.045,118.392,1500,1512,982,neon,0,10,1,1.00,6
28.893,89.912,116.584,1500,1512,982,neon,0,10,1,1.00,6
29.093,89.625,115.244,1500,1512,982,neon,0,10,1,1.00,6
29.294,88.801,109.969,1500,1512,982,neon,0,10,1,1.00,6
29.494,88.627,110.432,1500,1512,982,neon,0,10,1,1.00,6
29.693,88.980,113.637,1500,1512,982,neon,0,10,1,1.00,6
