variant,palette,fps_inst_median,fps_inst_mean,smoothed_fps_median,smoothed_fps_mean,frame_ms_median,frame_ms_mean,frame_ms_p95,frame_ms_p99,throughput_particles_per_s,n,width,height,vsync,ssaa,render_frac,sym,runs,threads_mode
parallel,neon,117.37049999999999,104.61347619047619,96.57325,97.41214761904762,8.520028491684343,10.548922315393089,16.995167445706635,17.110231245957635,117370.5,1000.0,1280.0,720.0,0.0,1.0,1.0,6.0,10,10.0
parallel,ocean,118.1505,111.27107142857143,100.85050000000001,101.08776190476189,8.463854158930225,9.938609426906382,16.78107032030851,16.92823751275641,118150.5,1000.0,1280.0,720.0,0.0,1.0,1.0,6.0,10,10.0
sequential,neon,29.953,30.032524693877548,29.834249999999997,29.8811512244898,33.38566881244171,33.33391320579384,34.90398156568416,35.47825600378576,41934.2,1400.0,1512.0,982.0,0.0,,,,10,
sequential,ocean,30.32275,30.38838775510204,30.219,30.251632653061225,32.97856031211148,32.96922553506394,34.39393612614802,35.10595346040684,42451.85,1400.0,1512.0,982.0,0.0,,,,10,
