ok,path,file,variant,palette,rows,duration_s,fps_inst_mean,fps_inst_median,fps_inst_p05,fps_inst_p95,smoothed_fps_mean,smoothed_fps_median,frame_ms_mean,frame_ms_median,frame_ms_p95,frame_ms_p99,throughput_particles_per_s,n,width,height,vsync,threads,ssaa,render_frac,sym
True,secuencial/runs/seq_neon_1.csv,seq_neon_1.csv,sequential,neon,49,10.448,30.44869387755102,30.367,28.8018,32.141999999999996,30.323999999999998,30.201,32.88365232169707,32.93048374880627,34.72016713979507,34.90797620273695,42513.8,1400,1512,982,0,,,,
True,secuencial/runs/seq_neon_10.csv,seq_neon_10.csv,sequential,neon,50,10.478,30.136020000000002,29.889499999999998,28.74325,32.3901,29.90492,29.820999999999998,33.22935990840009,33.456623444888805,34.79079806708836,36.04951578729262,41845.299999999996,1400,1512,982,0,,,,
True,secuencial/runs/seq_neon_2.csv,seq_neon_2.csv,sequential,neon,50,10.588000000000001,30.132579999999994,30.064999999999998,28.711949999999998,32.198499999999996,29.880180000000006,29.8195,33.22773750975438,33.261275533684994,34.828730920487665,35.229428415549535,42091.0,1400,1512,982,0,,,,
True,secuencial/runs/seq_neon_3.csv,seq_neon_3.csv,sequential,neon,50,10.617,29.923140000000004,29.924,28.43405,31.535199999999996,29.798280000000005,29.8475,33.44917081074786,33.41799228434575,35.16915307900795,35.47837086848646,41893.6,1400,1512,982,0,,,,
True,secuencial/runs/seq_neon_4.csv,seq_neon_4.csv,sequential,neon,48,10.288,30.421875,30.438499999999998,28.785,31.93535,30.30185416666667,30.2335,32.90663731332649,32.85313115461267,34.74031613687684,35.3617520284917,42613.899999999994,1400,1512,982,0,,,,
True,secuencial/runs/seq_neon_5.csv,seq_neon_5.csv,sequential,neon,50,10.581999999999999,30.285099999999996,30.2905,29.1694,31.5105,30.096360000000004,30.203,33.039636215677945,33.013669360451885,34.28323864027959,35.14582248613067,42406.700000000004,1400,1512,982,0,,,,
True,secuencial/runs/seq_neon_6.csv,seq_neon_6.csv,sequential,neon,51,10.578000000000001,29.80560784313725,29.68,28.5895,31.549,29.699862745098038,29.672,33.57935034878129,33.692722371967655,34.97995725959311,35.47814113908507,41552.0,1400,1512,982,0,,,,
True,secuencial/runs/seq_neon_7.csv,seq_neon_7.csv,sequential,neon,49,10.411,29.932469387755102,29.982,28.5884,31.2024,29.88212244897959,29.893,33.43846650318759,33.35334534053766,34.97923221088066,35.990118681957256,41974.799999999996,1400,1512,982,0,,,,
True,secuencial/runs/seq_neon_8.csv,seq_neon_8.csv,sequential,neon,49,10.229000000000001,29.62861224489796,29.542,28.0916,31.6254,29.525285714285715,29.406,33.79248262556728,33.850111705368626,35.59787428084869,35.96183865497639,41358.8,1400,1512,982,0,,,,
True,secuencial/runs/seq_neon_9.csv,seq_neon_9.csv,sequential,neon,50,10.543000000000001,29.578159999999997,29.427500000000002,27.5313,31.1362,29.398939999999996,29.5365,33.86493676618477,33.98183464783727,36.322359917459465,36.700923463203786,41198.5,1400,1512,982,0,,,,
True,secuencial/runs/seq_ocean_1.csv,seq_ocean_1.csv,sequential,ocean,48,10.281,30.0215,29.863,28.937549999999998,31.58585,30.009395833333333,30.031,33.33638347112578,33.4862562959205,34.55718593172436,35.883407341830335,41808.2,1400,1512,982,0,,,,
True,secuencial/runs/seq_ocean_10.csv,seq_ocean_10.csv,sequential,ocean,49,10.492,30.524020408163263,30.44,29.0254,31.8892,30.313734693877553,30.395,32.78964522274105,32.8515111695138,34.452608429201405,34.724489294862344,42616.0,1400,1512,982,0,,,,
True,secuencial/runs/seq_ocean_2.csv,seq_ocean_2.csv,sequential,ocean,50,10.636,30.264999999999997,30.186,28.815549999999998,31.8557,30.086619999999996,30.0705,33.07255172512312,33.128034668478406,34.703488484410585,35.45703436590919,42260.4,1400,1512,982,0,,,,
True,secuencial/runs/seq_ocean_3.csv,seq_ocean_3.csv,sequential,ocean,49,10.472,30.348714285714287,30.271,29.3398,32.1434,30.189530612244898,30.041,32.97796953946793,33.034917908229,34.083408257205974,34.679024773832616,42379.4,1400,1512,982,0,,,,
True,secuencial/runs/seq_ocean_4.csv,seq_ocean_4.csv,sequential,ocean,49,10.426,30.42985714285714,30.435,29.1246,31.8234,30.35442857142857,30.329,32.89001500302138,32.85690816494168,34.33526382309463,34.70975953835603,42609.0,1400,1512,982,0,,,,
