variant,fps_inst_median,fps_inst_mean,smoothed_fps_median,smoothed_fps_mean,frame_ms_median,frame_ms_mean,frame_ms_p95,frame_ms_p99,throughput_particles_per_s,n,width,height,vsync,ssaa,render_frac,sym,runs,threads_mode
parallel,117.566,106.6532380952381,99.97999999999999,100.44742857142857,8.50588228852768,10.443429006544633,16.86083498998617,17.07947440541166,117566.0,1000.0,1280.0,720.0,0.0,1.0,1.0,6.0,20,10.0
sequential,30.2285,30.275049999999997,30.05575,30.09149,33.0814762883537,33.05609397040053,34.730241638335954,35.409393197200444,42319.9,1400.0,1512.0,982.0,0.0,,,,20,
