time_s,smoothed_fps,fps_inst,n,width,height,palette,vsync,threads,ssaa,render_frac,sym
0.220,85.711,119.826,1000,1280,720,neon,0,10,1,1.00,6
0.719,101.790,120.928,1000,1280,720,neon,0,10,1,1.00,6
1.218,104.343,120.155,1000,1280,720,neon,0,10,1,1.00,6
1.727,94.891,59.848,1000,1280,720,neon,0,10,1,1.00,6
2.236,96.515,117.519,1000,1280,720,neon,0,10,1,1.00,6
2.736,94.409,117.746,1000,1280,720,neon,0,10,1,1.00,6
3.237,102.083,161.949,1000,1280,720,neon,0,10,1,1.00,6
3.745,95.557,66.816,1000,1280,720,neon,0,10,1,1.00,6
4.248,91.020,85.610,1000,1280,720,neon,0,10,1,1.00,6
4.752,101.889,126.950,1000,1280,720,neon,0,10,1,1.00,6
5.261,97.303,117.835,1000,1280,720,neon,0,10,1,1.00,6
5.769,98.132,127.430,1000,1280,720,neon,0,10,1,1.00,6
6.277,97.533,123.489,1000,1280,720,neon,0,10,1,1.00,6
6.786,98.619,116.560,1000,1280,720,neon,0,10,1,1.00,6
7.294,93.721,76.129,1000,1280,720,neon,0,10,1,1.00,6
7.794,94.666,60.073,1000,1280,720,neon,0,10,1,1.00,6
8.294,95.244,120.558,1000,1280,720,neon,0,10,1,1.00,6
8.803,87.342,75.758,1000,1280,720,neon,0,10,1,1.00,6
9.302,99.710,127.443,1000,1280,720,neon,0,10,1,1.00,6
9.803,101.385,114.029,1000,1280,720,neon,0,10,1,1.00,6
10.311,89.531,59.709,1000,1280,720,neon,0,10,1,1.00,6
10.819,96.768,64.338,1000,1280,720,neon,0,10,1,1.00,6
11.327,97.566,125.138,1000,1280,720,neon,0,10,1,1.00,6
