time_s,smoothed_fps,fps_inst,n,width,height,palette,vsync,threads,ssaa,render_frac,sym
0.216,68.173,116.699,1000,1280,720,neon,0,10,1,1.00,6
0.731,107.058,127.141,1000,1280,720,neon,0,10,1,1.00,6
1.240,102.175,117.163,1000,1280,720,neon,0,10,1,1.00,6
1.748,97.420,60.026,1000,1280,720,neon,0,10,1,1.00,6
2.240,94.171,123.031,1000,1280,720,neon,0,10,1,1.00,6
2.748,95.721,126.021,1000,1280,720,neon,0,10,1,1.00,6
3.248,118.407,120.080,1000,1280,720,neon,0,10,1,1.00,6
3.749,92.573,58.296,1000,1280,720,neon,0,10,1,1.00,6
4.240,102.835,117.034,1000,1280,720,neon,0,10,1,1.00,6
4.748,94.878,82.730,1000,1280,720,neon,0,10,1,1.00,6
5.248,100.020,124.016,1000,1280,720,neon,0,10,1,1.00,6
5.757,95.093,59.963,1000,1280,720,neon,0,10,1,1.00,6
6.248,99.353,124.741,1000,1280,720,neon,0,10,1,1.00,6
6.748,94.914,123.071,1000,1280,720,neon,0,10,1,1.00,6
7.252,91.209,88.768,1000,1280,720,neon,0,10,1,1.00,6
7.761,93.363,83.217,1000,1280,720,neon,0,10,1,1.00,6
8.257,95.287,117.754,1000,1280,720,neon,0,10,1,1.00,6
8.757,95.601,118.578,1000,1280,720,neon,0,10,1,1.00,6
9.257,97.329,124.187,1000,1280,720,neon,0,10,1,1.00,6
9.765,95.050,120.409,1000,1280,720,neon,0,10,1,1.00,6
10.276,96.399,162.937,1000,1280,720,neon,0,10,1,1.00,6
10.782,86.258,72.503,1000,1280,720,neon,0,10,1,1.00,6
11.282,92.302,59.145,1000,1280,720,neon,0,10,1,1.00,6
