time_s,smoothed_fps,fps_inst,n,width,height,palette,vsync,threads,ssaa,render_frac,sym
0.214,89.910,109.872,1000,1280,720,ocean,0,10,1,1.00,6
0.716,100.771,116.887,1000,1280,720,ocean,0,10,1,1.00,6
1.232,109.936,119.461,1000,1280,720,ocean,0,10,1,1.00,6
1.724,97.769,115.066,1000,1280,720,ocean,0,10,1,1.00,6
2.232,101.525,117.504,1000,1280,720,ocean,0,10,1,1.00,6
2.732,101.179,129.688,1000,1280,720,ocean,0,10,1,1.00,6
3.232,99.477,124.043,1000,1280,720,ocean,0,10,1,1.00,6
3.733,94.302,116.078,1000,1280,720,ocean,0,10,1,1.00,6
4.232,98.099,122.553,1000,1280,720,ocean,0,10,1,1.00,6
4.732,105.583,115.472,1000,1280,720,ocean,0,10,1,1.00,6
5.249,94.252,59.424,1000,1280,720,ocean,0,10,1,1.00,6
5.748,100.893,121.819,1000,1280,720,ocean,0,10,1,1.00,6
6.257,101.750,120.124,1000,1280,720,ocean,0,10,1,1.00,6
6.765,100.503,60.278,1000,1280,720,ocean,0,10,1,1.00,6
7.268,96.299,98.042,1000,1280,720,ocean,0,10,1,1.00,6
7.774,103.940,114.087,1000,1280,720,ocean,0,10,1,1.00,6
8.282,99.942,121.878,1000,1280,720,ocean,0,10,1,1.00,6
8.785,96.769,95.491,1000,1280,720,ocean,0,10,1,1.00,6
9.298,102.931,63.138,1000,1280,720,ocean,0,10,1,1.00,6
9.791,104.741,113.511,1000,1280,720,ocean,0,10,1,1.00,6
10.299,101.781,163.469,1000,1280,720,ocean,0,10,1,1.00,6
10.807,94.879,59.669,1000,1280,720,ocean,0,10,1,1.00,6
11.307,101.387,125.453,1000,1280,720,ocean,0,10,1,1.00,6
