time_s,smoothed_fps,fps_inst,n,width,height,palette,vsync,threads,ssaa,render_frac,sym
0.220,78.063,91.114,1000,1280,720,ocean,0,10,1,1.00,6
0.717,99.451,116.492,1000,1280,720,ocean,0,10,1,1.00,6
1.233,98.326,131.460,1000,1280,720,ocean,0,10,1,1.00,6
1.741,110.203,182.666,1000,1280,720,ocean,0,10,1,1.00,6
2.250,98.640,59.276,1000,1280,720,ocean,0,10,1,1.00,6
2.750,100.808,121.832,1000,1280,720,ocean,0,10,1,1.00,6
3.250,100.805,133.009,1000,1280,720,ocean,0,10,1,1.00,6
3.743,95.131,118.686,1000,1280,720,ocean,0,10,1,1.00,6
4.242,102.911,114.278,1000,1280,720,ocean,0,10,1,1.00,6
4.750,90.543,126.470,1000,1280,720,ocean,0,10,1,1.00,6
5.259,97.708,59.680,1000,1280,720,ocean,0,10,1,1.00,6
5.759,96.713,58.459,1000,1280,720,ocean,0,10,1,1.00,6
6.267,116.960,121.122,1000,1280,720,ocean,0,10,1,1.00,6
6.767,111.577,121.803,1000,1280,720,ocean,0,10,1,1.00,6
7.267,102.426,115.400,1000,1280,720,ocean,0,10,1,1.00,6
7.775,103.481,124.221,1000,1280,720,ocean,0,10,1,1.00,6
8.275,97.424,117.269,1000,1280,720,ocean,0,10,1,1.00,6
8.786,95.895,164.170,1000,1280,720,ocean,0,10,1,1.00,6
9.284,104.834,166.446,1000,1280,720,ocean,0,10,1,1.00,6
9.792,99.045,58.480,1000,1280,720,ocean,0,10,1,1.00,6
10.300,104.409,115.293,1000,1280,720,ocean,0,10,1,1.00,6
10.800,101.939,123.429,1000,1280,720,ocean,0,10,1,1.00,6
11.300,103.041,117.776,1000,1280,720,ocean,0,10,1,1.00,6
