time_s,smoothed_fps,fps_inst,n,width,height,palette,vsync,threads,ssaa,render_frac,sym
0.216,86.862,103.304,1000,1280,720,ocean,0,10,1,1.00,6
0.722,98.449,127.057,1000,1280,720,ocean,0,10,1,1.00,6
1.230,107.089,128.745,1000,1280,720,ocean,0,10,1,1.00,6
1.722,105.799,114.373,1000,1280,720,ocean,0,10,1,1.00,6
2.231,99.199,58.591,1000,1280,720,ocean,0,10,1,1.00,6
2.731,111.522,112.744,1000,1280,720,ocean,0,10,1,1.00,6
3.239,99.606,61.244,1000,1280,720,ocean,0,10,1,1.00,6
3.740,104.239,63.423,1000,1280,720,ocean,0,10,1,1.00,6
4.248,99.758,60.912,1000,1280,720,ocean,0,10,1,1.00,6
4.747,104.545,132.012,1000,1280,720,ocean,0,10,1,1.00,6
5.247,109.404,169.014,1000,1280,720,ocean,0,10,1,1.00,6
5.756,101.450,59.092,1000,1280,720,ocean,0,10,1,1.00,6
6.256,101.589,119.861,1000,1280,720,ocean,0,10,1,1.00,6
6.747,109.335,120.540,1000,1280,720,ocean,0,10,1,1.00,6
7.257,101.877,170.555,1000,1280,720,ocean,0,10,1,1.00,6
7.772,98.049,133.235,1000,1280,720,ocean,0,10,1,1.00,6
8.273,95.381,117.804,1000,1280,720,ocean,0,10,1,1.00,6
8.781,102.407,159.830,1000,1280,720,ocean,0,10,1,1.00,6
9.289,106.114,120.168,1000,1280,720,ocean,0,10,1,1.00,6
9.797,102.382,128.552,1000,1280,720,ocean,0,10,1,1.00,6
10.297,107.802,113.498,1000,1280,720,ocean,0,10,1,1.00,6
10.798,110.084,111.038,1000,1280,720,ocean,0,10,1,1.00,6
11.306,100.277,58.630,1000,1280,720,ocean,0,10,1,1.00,6
