time_s,smoothed_fps,fps_inst,n,width,height,palette,vsync,threads,ssaa,render_frac,sym
0.220,95.160,117.278,1000,1280,720,neon,0,10,1,1.00,6
0.726,106.843,129.098,1000,1280,720,neon,0,10,1,1.00,6
1.218,95.818,122.332,1000,1280,720,neon,0,10,1,1.00,6
1.718,94.927,119.511,1000,1280,720,neon,0,10,1,1.00,6
2.218,101.991,126.598,1000,1280,720,neon,0,10,1,1.00,6
2.726,104.547,114.364,1000,1280,720,neon,0,10,1,1.00,6
3.235,93.147,124.565,1000,1280,720,neon,0,10,1,1.00,6
3.735,95.395,127.472,1000,1280,720,neon,0,10,1,1.00,6
4.235,99.350,124.709,1000,1280,720,neon,0,10,1,1.00,6
4.751,96.170,123.409,1000,1280,720,neon,0,10,1,1.00,6
5.260,92.863,58.762,1000,1280,720,neon,0,10,1,1.00,6
5.760,92.992,59.381,1000,1280,720,neon,0,10,1,1.00,6
6.260,92.690,59.245,1000,1280,720,neon,0,10,1,1.00,6
6.759,99.680,123.661,1000,1280,720,neon,0,10,1,1.00,6
7.268,103.715,130.553,1000,1280,720,neon,0,10,1,1.00,6
7.768,94.852,58.440,1000,1280,720,neon,0,10,1,1.00,6
8.260,96.736,125.315,1000,1280,720,neon,0,10,1,1.00,6
8.777,94.020,115.655,1000,1280,720,neon,0,10,1,1.00,6
9.276,99.362,127.969,1000,1280,720,neon,0,10,1,1.00,6
9.785,97.301,128.974,1000,1280,720,neon,0,10,1,1.00,6
10.285,92.618,124.089,1000,1280,720,neon,0,10,1,1.00,6
10.801,101.821,126.965,1000,1280,720,neon,0,10,1,1.00,6
11.318,99.367,62.047,1000,1280,720,neon,0,10,1,1.00,6
