time_s,smoothed_fps,fps_inst,n,width,height,palette,vsync,threads,ssaa,render_frac,sym
0.217,81.103,117.177,1000,1280,720,ocean,0,10,1,1.00,6
0.725,100.482,57.117,1000,1280,720,ocean,0,10,1,1.00,6
1.224,100.107,59.200,1000,1280,720,ocean,0,10,1,1.00,6
1.716,99.794,120.174,1000,1280,720,ocean,0,10,1,1.00,6
2.227,98.505,89.996,1000,1280,720,ocean,0,10,1,1.00,6
2.724,104.118,118.220,1000,1280,720,ocean,0,10,1,1.00,6
3.225,105.638,173.643,1000,1280,720,ocean,0,10,1,1.00,6
3.733,95.305,125.929,1000,1280,720,ocean,0,10,1,1.00,6
4.233,101.193,115.812,1000,1280,720,ocean,0,10,1,1.00,6
4.733,100.613,111.412,1000,1280,720,ocean,0,10,1,1.00,6
5.249,102.124,127.150,1000,1280,720,ocean,0,10,1,1.00,6
5.757,100.840,132.477,1000,1280,720,ocean,0,10,1,1.00,6
6.258,102.864,165.437,1000,1280,720,ocean,0,10,1,1.00,6
6.758,100.770,113.147,1000,1280,720,ocean,0,10,1,1.00,6
7.266,110.977,168.655,1000,1280,720,ocean,0,10,1,1.00,6
7.775,96.806,60.232,1000,1280,720,ocean,0,10,1,1.00,6
8.275,94.525,119.802,1000,1280,720,ocean,0,10,1,1.00,6
8.782,103.407,131.134,1000,1280,720,ocean,0,10,1,1.00,6
9.291,95.292,60.680,1000,1280,720,ocean,0,10,1,1.00,6
9.799,100.564,131.272,1000,1280,720,ocean,0,10,1,1.00,6
10.299,106.745,170.599,1000,1280,720,ocean,0,10,1,1.00,6
10.807,102.744,123.877,1000,1280,720,ocean,0,10,1,1.00,6
11.308,98.196,59.474,1000,1280,720,ocean,0,10,1,1.00,6
