time_s,smoothed_fps,fps_inst,n,width,height,palette,vsync,threads,ssaa,render_frac,sym
0.217,80.033,112.207,1000,1280,720,ocean,0,10,1,1.00,6
0.724,99.301,118.177,1000,1280,720,ocean,0,10,1,1.00,6
1.232,103.718,58.918,1000,1280,720,ocean,0,10,1,1.00,6
1.736,94.020,84.613,1000,1280,720,ocean,0,10,1,1.00,6
2.241,101.091,59.539,1000,1280,720,ocean,0,10,1,1.00,6
2.733,104.682,115.677,1000,1280,720,ocean,0,10,1,1.00,6
3.233,104.499,163.479,1000,1280,720,ocean,0,10,1,1.00,6
3.733,100.539,124.932,1000,1280,720,ocean,0,10,1,1.00,6
4.233,101.374,115.312,1000,1280,720,ocean,0,10,1,1.00,6
4.741,107.094,111.204,1000,1280,720,ocean,0,10,1,1.00,6
5.249,100.255,130.458,1000,1280,720,ocean,0,10,1,1.00,6
5.749,105.932,115.580,1000,1280,720,ocean,0,10,1,1.00,6
6.257,110.199,59.835,1000,1280,720,ocean,0,10,1,1.00,6
6.749,111.821,172.007,1000,1280,720,ocean,0,10,1,1.00,6
7.258,103.586,63.532,1000,1280,720,ocean,0,10,1,1.00,6
7.758,108.666,114.932,1000,1280,720,ocean,0,10,1,1.00,6
8.260,93.791,92.743,1000,1280,720,ocean,0,10,1,1.00,6
8.758,97.110,110.829,1000,1280,720,ocean,0,10,1,1.00,6
9.274,102.304,126.968,1000,1280,720,ocean,0,10,1,1.00,6
9.766,93.998,119.576,1000,1280,720,ocean,0,10,1,1.00,6
10.274,104.442,119.768,1000,1280,720,ocean,0,10,1,1.00,6
10.774,110.353,178.463,1000,1280,720,ocean,0,10,1,1.00,6
11.283,102.019,121.159,1000,1280,720,ocean,0,10,1,1.00,6
