time_s,smoothed_fps,fps_inst,n,width,height,palette,vsync,threads,ssaa,render_frac,sym
0.217,88.559,119.914,1000,1280,720,ocean,0,10,1,1.00,6
0.724,104.380,119.331,1000,1280,720,ocean,0,10,1,1.00,6
1.232,99.834,60.136,1000,1280,720,ocean,0,10,1,1.00,6
1.724,107.006,118.948,1000,1280,720,ocean,0,10,1,1.00,6
2.232,101.625,59.533,1000,1280,720,ocean,0,10,1,1.00,6
2.741,110.159,118.935,1000,1280,720,ocean,0,10,1,1.00,6
3.241,101.019,120.628,1000,1280,720,ocean,0,10,1,1.00,6
3.744,95.195,92.816,1000,1280,720,ocean,0,10,1,1.00,6
4.250,98.215,62.252,1000,1280,720,ocean,0,10,1,1.00,6
4.741,98.403,117.908,1000,1280,720,ocean,0,10,1,1.00,6
5.249,107.417,113.463,1000,1280,720,ocean,0,10,1,1.00,6
5.757,103.066,120.147,1000,1280,720,ocean,0,10,1,1.00,6
6.266,97.982,126.201,1000,1280,720,ocean,0,10,1,1.00,6
6.766,101.421,127.959,1000,1280,720,ocean,0,10,1,1.00,6
7.258,96.918,118.605,1000,1280,720,ocean,0,10,1,1.00,6
7.767,92.912,120.429,1000,1280,720,ocean,0,10,1,1.00,6
8.275,98.901,60.327,1000,1280,720,ocean,0,10,1,1.00,6
8.782,101.718,128.205,1000,1280,720,ocean,0,10,1,1.00,6
9.283,97.329,57.382,1000,1280,720,ocean,0,10,1,1.00,6
9.774,96.990,121.570,1000,1280,720,ocean,0,10,1,1.00,6
10.283,108.521,119.919,1000,1280,720,ocean,0,10,1,1.00,6
10.782,104.499,62.170,1000,1280,720,ocean,0,10,1,1.00,6
11.290,105.429,127.325,1000,1280,720,ocean,0,10,1,1.00,6
