time_s,smoothed_fps,fps_inst,n,width,height,palette,vsync,threads,ssaa,render_frac,sym
0.157,54.425,59.588,1000,1280,720,neon,0,10,1,1.00,6
0.658,98.629,167.683,1000,1280,720,neon,0,10,1,1.00,6
1.167,93.916,92.638,1000,1280,720,neon,0,10,1,1.00,6
1.673,104.083,123.718,1000,1280,720,neon,0,10,1,1.00,6
2.181,100.620,120.259,1000,1280,720,neon,0,10,1,1.00,6
2.693,97.638,84.520,1000,1280,720,neon,0,10,1,1.00,6
3.198,99.138,60.334,1000,1280,720,neon,0,10,1,1.00,6
3.707,93.958,120.076,1000,1280,720,neon,0,10,1,1.00,6
4.215,102.222,65.571,1000,1280,720,neon,0,10,1,1.00,6
4.723,101.650,165.549,1000,1280,720,neon,0,10,1,1.00,6
5.223,107.996,112.509,1000,1280,720,neon,0,10,1,1.00,6
5.739,103.719,127.411,1000,1280,720,neon,0,10,1,1.00,6
6.239,107.705,59.703,1000,1280,720,neon,0,10,1,1.00,6
6.740,97.998,125.082,1000,1280,720,neon,0,10,1,1.00,6
7.240,100.779,112.490,1000,1280,720,neon,0,10,1,1.00,6
7.748,96.225,69.435,1000,1280,720,neon,0,10,1,1.00,6
8.250,92.331,98.050,1000,1280,720,neon,0,10,1,1.00,6
8.740,109.079,164.591,1000,1280,720,neon,0,10,1,1.00,6
9.248,93.767,75.210,1000,1280,720,neon,0,10,1,1.00,6
9.751,94.390,90.374,1000,1280,720,neon,0,10,1,1.00,6
10.248,109.469,174.512,1000,1280,720,neon,0,10,1,1.00,6
10.756,104.901,59.643,1000,1280,720,neon,0,10,1,1.00,6
11.247,112.379,120.846,1000,1280,720,neon,0,10,1,1.00,6
