time_s,smoothed_fps,fps_inst,n,width,height,palette,vsync,threads,ssaa,render_frac,sym
0.220,88.956,114.473,1000,1280,720,neon,0,10,1,1.00,6
0.728,98.663,59.145,1000,1280,720,neon,0,10,1,1.00,6
1.227,102.871,123.478,1000,1280,720,neon,0,10,1,1.00,6
1.727,102.188,115.022,1000,1280,720,neon,0,10,1,1.00,6
2.243,96.322,127.550,1000,1280,720,neon,0,10,1,1.00,6
2.752,98.395,120.665,1000,1280,720,neon,0,10,1,1.00,6
3.262,102.027,170.670,1000,1280,720,neon,0,10,1,1.00,6
3.769,98.864,128.247,1000,1280,720,neon,0,10,1,1.00,6
4.269,93.266,58.176,1000,1280,720,neon,0,10,1,1.00,6
4.773,99.106,84.457,1000,1280,720,neon,0,10,1,1.00,6
5.269,102.203,114.495,1000,1280,720,neon,0,10,1,1.00,6
5.777,93.984,125.040,1000,1280,720,neon,0,10,1,1.00,6
6.294,97.605,124.339,1000,1280,720,neon,0,10,1,1.00,6
6.785,99.541,119.204,1000,1280,720,neon,0,10,1,1.00,6
7.298,94.691,84.099,1000,1280,720,neon,0,10,1,1.00,6
7.798,89.316,86.479,1000,1280,720,neon,0,10,1,1.00,6
8.303,96.630,66.950,1000,1280,720,neon,0,10,1,1.00,6
8.811,86.006,73.554,1000,1280,720,neon,0,10,1,1.00,6
9.319,94.107,58.227,1000,1280,720,neon,0,10,1,1.00,6
9.819,102.669,115.193,1000,1280,720,neon,0,10,1,1.00,6
10.328,102.074,176.943,1000,1280,720,neon,0,10,1,1.00,6
10.836,95.460,59.948,1000,1280,720,neon,0,10,1,1.00,6
11.343,103.264,124.179,1000,1280,720,neon,0,10,1,1.00,6
