time_s,smoothed_fps,fps_inst,n,width,height,palette,vsync,threads,ssaa,render_frac,sym
0.207,93.365,135.131,1000,1280,720,ocean,0,10,1,1.00,6
0.702,99.207,175.147,1000,1280,720,ocean,0,10,1,1.00,6
1.210,108.376,111.941,1000,1280,720,ocean,0,10,1,1.00,6
1.726,105.680,117.837,1000,1280,720,ocean,0,10,1,1.00,6
2.226,100.470,60.338,1000,1280,720,ocean,0,10,1,1.00,6
2.726,99.677,126.393,1000,1280,720,ocean,0,10,1,1.00,6
3.227,97.336,60.221,1000,1280,720,ocean,0,10,1,1.00,6
3.727,95.890,59.643,1000,1280,720,ocean,0,10,1,1.00,6
4.235,96.283,61.713,1000,1280,720,ocean,0,10,1,1.00,6
4.743,99.435,122.760,1000,1280,720,ocean,0,10,1,1.00,6
5.251,104.964,123.143,1000,1280,720,ocean,0,10,1,1.00,6
5.759,108.293,134.407,1000,1280,720,ocean,0,10,1,1.00,6
6.259,106.459,126.366,1000,1280,720,ocean,0,10,1,1.00,6
6.760,97.467,59.655,1000,1280,720,ocean,0,10,1,1.00,6
7.255,91.025,91.056,1000,1280,720,ocean,0,10,1,1.00,6
7.762,96.216,99.261,1000,1280,720,ocean,0,10,1,1.00,6
8.268,97.636,126.856,1000,1280,720,ocean,0,10,1,1.00,6
8.768,99.874,119.686,1000,1280,720,ocean,0,10,1,1.00,6
9.276,102.464,59.986,1000,1280,720,ocean,0,10,1,1.00,6
9.768,101.385,117.321,1000,1280,720,ocean,0,10,1,1.00,6
10.277,106.692,184.391,1000,1280,720,ocean,0,10,1,1.00,6
10.776,98.436,120.173,1000,1280,720,ocean,0,10,1,1.00,6
11.285,101.446,59.616,1000,1280,720,ocean,0,10,1,1.00,6
