time_s,smoothed_fps,fps_inst,n,width,height,palette,vsync,threads,ssaa,render_frac,sym
0.211,91.562,123.372,1000,1280,720,neon,0,10,1,1.00,6
0.726,115.340,121.510,1000,1280,720,neon,0,10,1,1.00,6
1.234,102.629,118.675,1000,1280,720,neon,0,10,1,1.00,6
1.742,105.840,60.767,1000,1280,720,neon,0,10,1,1.00,6
2.243,118.787,117.605,1000,1280,720,neon,0,10,1,1.00,6
2.743,107.944,119.541,1000,1280,720,neon,0,10,1,1.00,6
3.243,105.119,57.971,1000,1280,720,neon,0,10,1,1.00,6
3.752,106.543,59.336,1000,1280,720,neon,0,10,1,1.00,6
4.260,112.013,117.378,1000,1280,720,neon,0,10,1,1.00,6
4.759,110.179,130.941,1000,1280,720,neon,0,10,1,1.00,6
5.259,104.813,60.993,1000,1280,720,neon,0,10,1,1.00,6
5.759,105.472,122.414,1000,1280,720,neon,0,10,1,1.00,6
6.259,118.338,127.732,1000,1280,720,neon,0,10,1,1.00,6
6.759,110.850,58.445,1000,1280,720,neon,0,10,1,1.00,6
7.260,110.482,118.936,1000,1280,720,neon,0,10,1,1.00,6
7.760,110.395,59.916,1000,1280,720,neon,0,10,1,1.00,6
8.259,119.029,136.004,1000,1280,720,neon,0,10,1,1.00,6
8.760,109.642,121.993,1000,1280,720,neon,0,10,1,1.00,6
9.260,100.109,114.388,1000,1280,720,neon,0,10,1,1.00,6
9.768,101.419,71.768,1000,1280,720,neon,0,10,1,1.00,6
10.268,116.537,121.941,1000,1280,720,neon,0,10,1,1.00,6
10.776,99.003,58.937,1000,1280,720,neon,0,10,1,1.00,6
11.284,109.567,60.726,1000,1280,720,neon,0,10,1,1.00,6
