time_s,smoothed_fps,fps_inst,n,width,height,palette,vsync,threads,ssaa,render_frac,sym
0.210,74.540,118.145,1000,1280,720,neon,0,10,1,1.00,6
0.709,99.747,116.147,1000,1280,720,neon,0,10,1,1.00,6
1.217,94.862,122.316,1000,1280,720,neon,0,10,1,1.00,6
1.726,93.909,119.251,1000,1280,720,neon,0,10,1,1.00,6
2.234,93.575,122.619,1000,1280,720,neon,0,10,1,1.00,6
2.745,93.384,90.893,1000,1280,720,neon,0,10,1,1.00,6
3.251,99.752,117.363,1000,1280,720,neon,0,10,1,1.00,6
3.751,96.524,122.604,1000,1280,720,neon,0,10,1,1.00,6
4.259,96.249,117.637,1000,1280,720,neon,0,10,1,1.00,6
4.759,105.496,119.802,1000,1280,720,neon,0,10,1,1.00,6
5.259,100.375,119.917,1000,1280,720,neon,0,10,1,1.00,6
5.762,92.400,86.169,1000,1280,720,neon,0,10,1,1.00,6
6.267,92.974,60.050,1000,1280,720,neon,0,10,1,1.00,6
6.759,94.003,124.383,1000,1280,720,neon,0,10,1,1.00,6
7.263,91.781,87.742,1000,1280,720,neon,0,10,1,1.00,6
7.771,93.994,86.271,1000,1280,720,neon,0,10,1,1.00,6
8.268,100.165,113.366,1000,1280,720,neon,0,10,1,1.00,6
8.776,88.721,58.935,1000,1280,720,neon,0,10,1,1.00,6
9.284,97.165,59.437,1000,1280,720,neon,0,10,1,1.00,6
9.785,104.404,180.734,1000,1280,720,neon,0,10,1,1.00,6
10.293,95.745,63.970,1000,1280,720,neon,0,10,1,1.00,6
10.792,97.108,58.760,1000,1280,720,neon,0,10,1,1.00,6
11.284,98.363,121.706,1000,1280,720,neon,0,10,1,1.00,6
