time_s,smoothed_fps,fps_inst,n,width,height,palette,vsync,threads,ssaa,render_frac,sym
0.219,69.310,59.295,1000,1280,720,neon,0,10,1,1.00,6
0.719,109.425,118.160,1000,1280,720,neon,0,10,1,1.00,6
1.227,94.470,118.329,1000,1280,720,neon,0,10,1,1.00,6
1.727,99.199,122.076,1000,1280,720,neon,0,10,1,1.00,6
2.235,90.041,121.329,1000,1280,720,neon,0,10,1,1.00,6
2.744,102.692,117.612,1000,1280,720,neon,0,10,1,1.00,6
3.236,103.132,123.839,1000,1280,720,neon,0,10,1,1.00,6
3.739,94.810,91.215,1000,1280,720,neon,0,10,1,1.00,6
4.252,96.505,121.636,1000,1280,720,neon,0,10,1,1.00,6
4.752,104.180,123.579,1000,1280,720,neon,0,10,1,1.00,6
5.260,96.350,58.278,1000,1280,720,neon,0,10,1,1.00,6
5.751,112.482,118.378,1000,1280,720,neon,0,10,1,1.00,6
6.260,96.809,126.482,1000,1280,720,neon,0,10,1,1.00,6
6.769,94.263,59.022,1000,1280,720,neon,0,10,1,1.00,6
7.270,96.166,98.967,1000,1280,720,neon,0,10,1,1.00,6
7.771,96.786,160.017,1000,1280,720,neon,0,10,1,1.00,6
8.277,93.785,118.822,1000,1280,720,neon,0,10,1,1.00,6
8.786,99.521,119.441,1000,1280,720,neon,0,10,1,1.00,6
9.286,94.749,59.415,1000,1280,720,neon,0,10,1,1.00,6
9.785,96.497,59.360,1000,1280,720,neon,0,10,1,1.00,6
10.286,89.482,59.678,1000,1280,720,neon,0,10,1,1.00,6
10.785,99.027,117.453,1000,1280,720,neon,0,10,1,1.00,6
11.302,106.769,115.168,1000,1280,720,neon,0,10,1,1.00,6
