time_s,smoothed_fps,fps_inst,n,width,height,palette,vsync,threads,ssaa,render_frac,sym
0.210,81.805,116.228,1000,1280,720,ocean,0,10,1,1.00,6
0.710,94.862,116.741,1000,1280,720,ocean,0,10,1,1.00,6
1.226,96.156,125.629,1000,1280,720,ocean,0,10,1,1.00,6
1.735,110.303,117.740,1000,1280,720,ocean,0,10,1,1.00,6
2.243,103.376,118.805,1000,1280,720,ocean,0,10,1,1.00,6
2.743,105.298,126.794,1000,1280,720,ocean,0,10,1,1.00,6
3.238,95.141,93.056,1000,1280,720,ocean,0,10,1,1.00,6
3.746,94.252,96.078,1000,1280,720,ocean,0,10,1,1.00,6
4.238,93.610,93.912,1000,1280,720,ocean,0,10,1,1.00,6
4.744,98.200,162.422,1000,1280,720,ocean,0,10,1,1.00,6
5.251,103.428,127.857,1000,1280,720,ocean,0,10,1,1.00,6
5.751,110.975,186.377,1000,1280,720,ocean,0,10,1,1.00,6
6.252,114.921,180.511,1000,1280,720,ocean,0,10,1,1.00,6
6.760,101.926,59.836,1000,1280,720,ocean,0,10,1,1.00,6
7.259,108.658,121.546,1000,1280,720,ocean,0,10,1,1.00,6
7.776,100.082,130.915,1000,1280,720,ocean,0,10,1,1.00,6
8.285,99.327,115.943,1000,1280,720,ocean,0,10,1,1.00,6
8.793,98.358,61.983,1000,1280,720,ocean,0,10,1,1.00,6
9.301,90.543,124.008,1000,1280,720,ocean,0,10,1,1.00,6
9.818,111.772,126.179,1000,1280,720,ocean,0,10,1,1.00,6
10.318,102.427,59.792,1000,1280,720,ocean,0,10,1,1.00,6
10.818,104.278,116.603,1000,1280,720,ocean,0,10,1,1.00,6
11.310,102.242,122.610,1000,1280,720,ocean,0,10,1,1.00,6
