time_s,smoothed_fps,fps_inst,n,width,height,palette,vsync,threads,ssaa,render_frac,sym
0.216,79.413,59.953,1000,1280,720,ocean,0,10,1,1.00,6
0.708,99.173,117.257,1000,1280,720,ocean,0,10,1,1.00,6
1.218,95.588,94.703,1000,1280,720,ocean,0,10,1,1.00,6
1.715,99.857,120.947,1000,1280,720,ocean,0,10,1,1.00,6
2.228,93.571,82.753,1000,1280,720,ocean,0,10,1,1.00,6
2.724,106.576,118.953,1000,1280,720,ocean,0,10,1,1.00,6
3.240,100.079,129.054,1000,1280,720,ocean,0,10,1,1.00,6
3.741,101.759,145.253,1000,1280,720,ocean,0,10,1,1.00,6
4.257,102.704,65.219,1000,1280,720,ocean,0,10,1,1.00,6
4.765,109.881,114.340,1000,1280,720,ocean,0,10,1,1.00,6
5.274,104.059,60.231,1000,1280,720,ocean,0,10,1,1.00,6
5.773,102.056,59.774,1000,1280,720,ocean,0,10,1,1.00,6
6.265,101.798,114.558,1000,1280,720,ocean,0,10,1,1.00,6
6.774,104.836,118.940,1000,1280,720,ocean,0,10,1,1.00,6
7.282,99.011,131.464,1000,1280,720,ocean,0,10,1,1.00,6
7.782,96.535,120.329,1000,1280,720,ocean,0,10,1,1.00,6
8.282,103.778,60.416,1000,1280,720,ocean,0,10,1,1.00,6
8.782,95.491,70.244,1000,1280,720,ocean,0,10,1,1.00,6
9.290,105.214,123.858,1000,1280,720,ocean,0,10,1,1.00,6
9.782,98.160,119.230,1000,1280,720,ocean,0,10,1,1.00,6
10.285,97.583,89.186,1000,1280,720,ocean,0,10,1,1.00,6
10.791,93.646,57.910,1000,1280,720,ocean,0,10,1,1.00,6
11.282,98.673,164.346,1000,1280,720,ocean,0,10,1,1.00,6
