time_s,smoothed_fps,fps_inst,n,width,height,palette,vsync,threads,ssaa,render_frac,sym
0.227,89.691,59.701,1000,1280,720,neon,0,10,1,1.00,6
0.731,101.010,60.019,1000,1280,720,neon,0,10,1,1.00,6
1.230,101.072,122.534,1000,1280,720,neon,0,10,1,1.00,6
1.730,106.997,136.444,1000,1280,720,neon,0,10,1,1.00,6
2.222,101.646,123.613,1000,1280,720,neon,0,10,1,1.00,6
2.731,93.579,59.641,1000,1280,720,neon,0,10,1,1.00,6
3.240,91.103,115.087,1000,1280,720,neon,0,10,1,1.00,6
3.748,95.515,68.352,1000,1280,720,neon,0,10,1,1.00,6
4.258,100.081,168.141,1000,1280,720,neon,0,10,1,1.00,6
4.764,92.562,58.218,1000,1280,720,neon,0,10,1,1.00,6
5.272,100.971,117.348,1000,1280,720,neon,0,10,1,1.00,6
5.780,90.084,125.945,1000,1280,720,neon,0,10,1,1.00,6
6.289,94.548,59.620,1000,1280,720,neon,0,10,1,1.00,6
6.789,94.947,58.408,1000,1280,720,neon,0,10,1,1.00,6
7.298,100.622,59.402,1000,1280,720,neon,0,10,1,1.00,6
7.806,99.098,123.188,1000,1280,720,neon,0,10,1,1.00,6
8.306,93.180,81.535,1000,1280,720,neon,0,10,1,1.00,6
8.806,92.357,58.087,1000,1280,720,neon,0,10,1,1.00,6
9.306,93.671,59.856,1000,1280,720,neon,0,10,1,1.00,6
9.809,92.598,85.563,1000,1280,720,neon,0,10,1,1.00,6
10.307,100.405,169.300,1000,1280,720,neon,0,10,1,1.00,6
10.809,98.720,83.138,1000,1280,720,neon,0,10,1,1.00,6
11.306,106.951,116.211,1000,1280,720,neon,0,10,1,1.00,6
